Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,215.9,220.19,212.67,216.3,47258375.0,0.0,1.0,215.9,220.19,212.67,216.3,47258375.0
2018-10-25,217.71,221.38,216.75,219.8,29855768.0,0.0,1.0,217.71,221.38,216.75,219.8,29855768.0
2018-10-24,222.6,224.23,214.54,215.09,40925163.0,0.0,1.0,222.6,224.23,214.54,215.09,40925163.0
2018-10-23,215.83,223.25,214.7,222.73,38461213.0,0.0,1.0,215.83,223.25,214.7,222.73,38461213.0
2018-10-22,219.79,223.36,218.94,220.65,28792082.0,0.0,1.0,219.79,223.36,218.94,220.65,28792082.0
2018-10-19,218.06,221.26,217.43,219.31,33078726.0,0.0,1.0,218.06,221.26,217.43,219.31,33078726.0
2018-10-18,217.86,219.74,213.0,216.02,32581315.0,0.0,1.0,217.86,219.74,213.0,216.02,32581315.0
2018-10-17,222.3,222.64,219.34,221.19,22885397.0,0.0,1.0,222.3,222.64,219.34,221.19,22885397.0
2018-10-16,218.93,222.99,216.7627,222.15,29183963.0,0.0,1.0,218.93,222.99,216.7627,222.15,29183963.0
2018-10-15,221.16,221.83,217.27,217.36,30791007.0,0.0,1.0,221.16,221.83,217.27,217.36,30791007.0
2018-10-12,220.42,222.88,216.84,222.11,38647366.0,0.0,1.0,220.42,222.88,216.84,222.11,38647366.0
2018-10-11,214.52,219.5,212.32,214.45,53124392.0,0.0,1.0,214.52,219.5,212.32,214.45,53124392.0
2018-10-10,225.46,226.35,216.05,216.36,41990554.0,0.0,1.0,225.46,226.35,216.05,216.36,41990554.0
2018-10-09,223.64,227.27,222.2462,226.87,26891029.0,0.0,1.0,223.64,227.27,222.2462,226.87,26891029.0
2018-10-08,222.21,224.8,220.2,223.77,29663923.0,0.0,1.0,222.21,224.8,220.2,223.77,29663923.0
2018-10-05,227.96,228.41,220.58,224.29,33580463.0,0.0,1.0,227.96,228.41,220.58,224.29,33580463.0
2018-10-04,230.78,232.35,226.73,227.99,32042000.0,0.0,1.0,230.78,232.35,226.73,227.99,32042000.0
2018-10-03,230.05,233.47,229.78,232.07,28654799.0,0.0,1.0,230.05,233.47,229.78,232.07,28654799.0
2018-10-02,227.25,230.0,226.63,229.28,24788170.0,0.0,1.0,227.25,230.0,226.63,229.28,24788170.0
2018-10-01,227.95,229.42,226.35,227.26,23600802.0,0.0,1.0,227.95,229.42,226.35,227.26,23600802.0
2018-09-28,224.79,225.84,224.02,225.74,22929364.0,0.0,1.0,224.79,225.84,224.02,225.74,22929364.0
2018-09-27,223.82,226.44,223.54,224.95,30181227.0,0.0,1.0,223.82,226.44,223.54,224.95,30181227.0
2018-09-26,221.0,223.75,219.76,220.42,23984706.0,0.0,1.0,221.0,223.75,219.76,220.42,23984706.0
2018-09-25,219.75,222.82,219.7,222.19,24554379.0,0.0,1.0,219.75,222.82,219.7,222.19,24554379.0
2018-09-24,216.82,221.26,216.63,220.79,27693358.0,0.0,1.0,216.82,221.26,216.63,220.79,27693358.0
2018-09-21,220.78,221.36,217.29,217.66,96246748.0,0.0,1.0,220.78,221.36,217.29,217.66,96246748.0
2018-09-20,220.24,222.28,219.15,220.03,26608794.0,0.0,1.0,220.24,222.28,219.15,220.03,26608794.0
2018-09-19,218.5,219.62,215.3,218.37,27123833.0,0.0,1.0,218.5,219.62,215.3,218.37,27123833.0
2018-09-18,217.79,221.85,217.12,218.24,31571712.0,0.0,1.0,217.79,221.85,217.12,218.24,31571712.0
2018-09-17,222.15,222.95,217.27,217.88,37195133.0,0.0,1.0,222.15,222.95,217.27,217.88,37195133.0
2018-09-14,225.75,226.84,222.522,223.84,31999289.0,0.0,1.0,225.75,226.84,222.522,223.84,31999289.0
2018-09-13,223.52,228.35,222.57,226.41,41706377.0,0.0,1.0,223.52,228.35,222.57,226.41,41706377.0
2018-09-12,224.94,225.0,219.84,221.07,49278740.0,0.0,1.0,224.94,225.0,219.84,221.07,49278740.0
