Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,360.7,363.3,354.1207,359.27,4073120.0,0.0,1.0,360.7,363.3,354.1207,359.27,4073120.0
2018-10-25,357.3,364.39,354.97,363.77,4003484.0,0.0,1.0,357.3,364.39,354.97,363.77,4003484.0
2018-10-24,361.59,364.6,351.6901,354.65,8439348.0,0.0,1.0,361.59,364.6,351.6901,354.65,8439348.0
2018-10-23,349.5,353.562,342.826,350.05,4386664.0,0.0,1.0,349.5,353.562,342.826,350.05,4386664.0
2018-10-22,357.85,358.7584,352.46,355.98,2260061.0,0.0,1.0,357.85,358.7584,352.46,355.98,2260061.0
2018-10-19,359.8,359.87,354.205,356.26,3491412.0,0.0,1.0,359.8,359.87,354.205,356.26,3491412.0
2018-10-18,364.82,367.76,356.76,359.35,3254358.0,0.0,1.0,364.82,367.76,356.76,359.35,3254358.0
2018-10-17,368.0,368.5,362.7,365.5,2238186.0,0.0,1.0,368.0,368.5,362.7,365.5,2238186.0
2018-10-16,360.45,368.57,358.55,368.25,2818557.0,0.0,1.0,360.45,368.57,358.55,368.25,2818557.0
2018-10-15,359.46,362.55,355.5,358.88,2978597.0,0.0,1.0,359.46,362.55,355.5,358.88,2978597.0
2018-10-12,366.01,367.12,352.26,360.11,5347465.0,0.0,1.0,366.01,367.12,352.26,360.11,5347465.0
2018-10-11,363.44,369.85,355.1,358.11,6266751.0,0.0,1.0,363.44,369.85,355.1,358.11,6266751.0
2018-10-10,382.96,383.8,367.09,367.47,5858372.0,0.0,1.0,382.96,383.8,367.09,367.47,5858372.0
2018-10-09,384.37,386.82,381.14,385.44,2861725.0,0.0,1.0,384.37,386.82,381.14,385.44,2861725.0
2018-10-08,383.84,386.73,377.35,385.77,3323072.0,0.0,1.0,383.84,386.73,377.35,385.77,3323072.0
2018-10-05,389.0,392.39,383.03,386.47,2896594.0,0.0,1.0,389.0,392.39,383.03,386.47,2896594.0
2018-10-04,390.74,391.09,385.29,389.99,3642144.0,0.0,1.0,390.74,391.09,385.29,389.99,3642144.0
2018-10-03,388.9,394.28,386.69,392.3,4794263.0,0.0,1.0,388.9,394.28,386.69,392.3,4794263.0
2018-10-02,380.85,388.615,379.77,386.37,4620733.0,0.0,1.0,380.85,388.615,379.77,386.37,4620733.0
2018-10-01,375.16,383.21,375.0,382.29,4756136.0,0.0,1.0,375.16,383.21,375.0,382.29,4756136.0
