Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,110.63,112.47,109.6591,111.53,8034996.0,0.0,1.0,110.63,112.47,109.6591,111.53,8034996.0
2018-10-25,111.36,113.4,110.43,111.58,5734029.0,0.0,1.0,111.36,113.4,110.43,111.58,5734029.0
2018-10-24,113.72,114.175,110.07,110.21,7999533.0,0.0,1.0,113.72,114.175,110.07,110.21,7999533.0
2018-10-23,115.72,115.72,112.05,113.4,7908031.0,0.0,1.0,115.72,115.72,112.05,113.4,7908031.0
2018-10-22,118.1,118.49,116.48,117.21,5581903.0,0.0,1.0,118.1,118.49,116.48,117.21,5581903.0
2018-10-19,117.37,119.26,117.37,118.14,7944399.0,0.0,1.0,117.37,119.26,117.37,118.14,7944399.0
2018-10-18,117.42,118.14,116.05,117.47,7030318.0,0.0,1.0,117.42,118.14,116.05,117.47,7030318.0
2018-10-17,117.21,117.69,116.02,117.29,6978670.0,0.0,1.0,117.21,117.69,116.02,117.29,6978670.0
2018-10-16,117.09,117.68,116.34,117.51,4845953.0,0.0,1.0,117.09,117.68,116.34,117.51,4845953.0
2018-10-15,117.7,118.86,116.91,116.94,6039696.0,0.0,1.0,117.7,118.86,116.91,116.94,6039696.0
2018-10-12,119.53,119.68,116.18,117.77,7239424.0,0.0,1.0,119.53,119.68,116.18,117.77,7239424.0
2018-10-11,122.43,122.43,117.54,118.43,8590022.0,0.0,1.0,122.43,122.43,117.54,118.43,8590022.0
2018-10-10,127.23,127.6,122.46,122.6,6487802.0,0.0,1.0,127.23,127.6,122.46,122.6,6487802.0
2018-10-09,125.51,127.44,125.07,126.82,6797189.0,0.0,1.0,125.51,127.44,125.07,126.82,6797189.0
2018-10-08,124.05,125.46,123.83,124.84,6267369.0,0.0,1.0,124.05,125.46,123.83,124.84,6267369.0
2018-10-05,124.93,125.9,124.74,125.33,4311493.0,0.0,1.0,124.93,125.9,124.74,125.33,4311493.0
2018-10-04,124.79,125.59,124.19,124.95,4235341.0,0.0,1.0,124.79,125.59,124.19,124.95,4235341.0
2018-10-03,125.13,125.8435,124.78,125.31,4479706.0,0.0,1.0,125.13,125.8435,124.78,125.31,4479706.0
2018-10-02,125.07,125.76,124.32,124.74,5445216.0,0.0,1.0,125.07,125.76,124.32,124.74,5445216.0
2018-10-01,123.11,124.88,123.11,124.39,5348845.0,0.0,1.0,123.11,124.88,123.11,124.39,5348845.0
2018-09-28,121.99,123.21,121.76,122.28,4651039.0,0.0,1.0,121.99,123.21,121.76,122.28,4651039.0
2018-09-27,122.16,123.0,121.71,122.47,4480838.0,0.0,1.0,122.16,123.0,121.71,122.47,4480838.0
2018-09-26,122.99,123.42,121.74,121.95,4193002.0,0.0,1.0,122.99,123.42,121.74,121.95,4193002.0
2018-09-25,123.5,124.24,122.94,123.37,4772326.0,0.0,1.0,123.5,124.24,122.94,123.37,4772326.0
2018-09-24,121.91,122.98,121.57,122.62,6534264.0,0.0,1.0,121.91,122.98,121.57,122.62,6534264.0
2018-09-21,119.91,121.255,119.41,121.13,13702896.0,0.0,1.0,119.91,121.255,119.41,121.13,13702896.0
2018-09-20,120.19,121.32,119.11,119.42,5846714.0,0.0,1.0,120.19,121.32,119.11,119.42,5846714.0
2018-09-19,118.33,120.04,118.12,119.51,4855304.0,0.0,1.0,118.33,120.04,118.12,119.51,4855304.0
2018-09-18,118.5,118.9,117.98,118.13,4966268.0,0.0,1.0,118.5,118.9,117.98,118.13,4966268.0
2018-09-17,117.61,118.68,117.275,117.51,5559689.0,0.0,1.0,117.61,118.68,117.275,117.51,5559689.0
2018-09-14,116.43,117.61,116.35,117.38,4947777.0,0.0,1.0,116.43,117.61,116.35,117.38,4947777.0
2018-09-13,116.01,116.52,115.08,116.3,6266551.0,0.0,1.0,116.01,116.52,115.08,116.3,6266551.0
2018-09-12,116.42,117.49,115.76,115.79,5067934.0,0.0,1.0,116.42,117.49,115.76,115.79,5067934.0
2018-09-11,114.34,115.74,113.76,115.02,5605326.0,0.0,1.0,114.34,115.74,113.76,115.02,5605326.0
2018-09-10,115.43,115.72,114.38,114.48,5869320.0,0.0,1.0,115.43,115.72,114.38,114.48,5869320.0
2018-09-07,114.52,115.35,113.39,114.6,6577764.0,0.0,1.0,114.52,115.35,113.39,114.6,6577764.0
2018-09-06,117.89,118.51,115.135,115.23,8188300.0,0.0,1.0,117.89,118.51,115.135,115.23,8188300.0
2018-09-05,118.06,118.94,117.26,118.92,4618667.0,0.0,1.0,118.06,118.94,117.26,118.92,4618667.0
2018-09-04,118.93,119.63,118.345,118.87,4590824.0,0.0,1.0,118.93,119.63,118.345,118.87,4590824.0
2018-08-31,119.4,119.4,118.09,118.46,5284053.0,0.0,1.0,119.4,119.4,118.09,118.46,5284053.0
2018-08-30,120.08,120.43,119.55,119.81,3294681.0,0.0,1.0,120.08,120.43,119.55,119.81,3294681.0
2018-08-29,120.0,120.83,119.88,120.22,4099962.0,0.0,1.0,120.0,120.83,119.88,120.22,4099962.0
2018-08-28,120.6,121.34,119.75,119.86,4685672.0,0.0,1.0,120.6,121.34,119.75,119.86,4685672.0
2018-08-27,119.36,120.48,119.17,120.35,3899408.0,0.0,1.0,119.36,120.48,119.17,120.35,3899408.0
2018-08-24,118.9,119.54,118.72,119.01,4415449.0,0.0,1.0,118.9,119.54,118.72,119.01,4415449.0
2018-08-23,118.39,118.82,117.7,118.1,3962517.0,0.0,1.0,118.39,118.82,117.7,118.1,3962517.0
2018-08-22,118.54,119.4569,118.42,118.92,3636301.0,0.0,1.0,118.54,119.4569,118.42,118.92,3636301.0
2018-08-21,118.375,118.93,117.79,117.94,4874914.0,0.0,1.0,118.375,118.93,117.79,117.94,4874914.0
2018-08-20,118.0,118.32,117.33,117.75,5403551.0,0.0,1.0,118.0,118.32,117.33,117.75,5403551.0
2018-08-17,118.15,118.58,117.091,117.8,6112867.0,0.0,1.0,118.15,118.58,117.091,117.8,6112867.0
2018-08-16,117.7,118.31,117.18,117.66,5454126.0,1.12,1.0,117.7,118.31,117.18,117.66,5454126.0
2018-08-15,121.7,121.73,117.43,117.94,9474963.0,0.0,1.0,120.55246674524331,120.58218386933827,116.32272941572656,116.82792052534096,9474963.0
2018-08-14,122.92,123.65,122.0,122.58,3621325.0,0.0,1.0,121.76096312510523,122.48407981141607,120.84963798619296,121.42416905202896,3621325.0
2018-08-13,123.31,123.6765,122.2626,122.44,4360135.0,0.0,1.0,122.14728573833979,122.51032993769995,121.10976187910423,121.28548913958578,4360135.0
2018-08-10,122.17,123.52,121.5,123.34,6128380.0,0.0,1.0,121.0180350227311,122.35530560700454,120.3543525846102,122.17700286243475,6128380.0
2018-08-09,123.96,124.37,122.26,122.53,5218301.0,0.0,1.0,122.79115676039736,123.19729078969523,121.107186395016,121.37464051187068,5218301.0
2018-08-08,124.52,124.79,123.315,123.88,5957468.0,0.0,1.0,123.34587641017005,123.61333052702476,122.15223859235562,122.71191109614412,5957468.0
2018-08-07,125.54,125.7,124.75,125.18,4542027.0,0.0,1.0,124.3562586293989,124.51474995790537,123.57370769489813,123.99965314025931,4542027.0
2018-08-06,124.42,124.94,123.542,124.3,4455860.0,0.0,1.0,123.24681932985351,123.76191614749958,122.37709816467418,123.12795083347365,4455860.0
2018-08-03,124.15,124.25,123.3315,124.05,5299459.0,0.0,1.0,122.97936521299883,123.07842229331537,122.16858301060785,122.88030813268226,5299459.0
2018-08-02,124.44,124.81,123.3,123.76,4639204.0,0.0,1.0,123.26663074591681,123.63314194308806,122.13738003030812,122.59304259976427,4639204.0
2018-08-01,125.31,125.92,124.745,125.39,4661104.0,0.0,1.0,124.12842734467081,124.73267553460178,123.5687548408823,124.20767300892406,4661104.0
2018-07-31,128.0,128.55,126.13,126.27,5893823.0,0.0,1.0,126.79306280518605,127.3378767469271,124.94069540326653,125.07937531570971,5893823.0
2018-07-30,126.76,128.41,126.22,127.83,5729334.0,0.0,1.0,125.56475500926082,127.19919683448391,125.02984677555143,126.62466576864792,5729334.0
2018-07-27,122.79,127.04,122.08,125.97,7581126.0,0.0,1.0,121.63218892069372,125.84211483414717,120.9288836504462,124.78220407476006,7581126.0
2018-07-26,124.7,125.38,123.8,123.95,5542251.0,0.0,1.0,123.52417915473985,124.1977673008924,122.63266543189089,122.78125105236572,5542251.0
2018-07-25,123.62,125.23,123.2725,124.9,4278824.0,0.0,1.0,122.4543626873211,124.04918168041758,122.11013933322107,123.72229331537297,4278824.0
2018-07-24,121.87,124.16,121.86,123.85,4423517.0,0.0,1.0,120.72086378178145,122.98927092103047,120.71095807374978,122.68219397204916,4423517.0
2018-07-23,122.35,123.07,121.16,121.33,5359451.0,0.0,1.0,121.19633776730089,121.90954874558005,120.01755851153392,120.18595554807206,5359451.0
2018-07-20,121.25,122.35,121.01,122.27,5396793.0,0.0,1.0,120.10670988381882,121.19633776730089,119.8689728910591,121.11709210304764,5396793.0
2018-07-19,121.1,122.14,121.01,121.67,4464833.0,0.0,1.0,119.95812426334399,120.98831789863613,119.8689728910591,120.52274962114834,4464833.0
2018-07-18,121.24,121.67,119.67,121.53,6060820.0,0.0,1.0,120.09680417578716,120.52274962114834,118.54160801481731,120.38406970870517,6060820.0
