Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,210.73,214.8,209.5275,212.36,3557902.0,0.0,1.0,210.73,214.8,209.5275,212.36,3557902.0
2018-10-25,211.27,215.69,210.3363,214.01,3179707.0,0.0,1.0,211.27,215.69,210.3363,214.01,3179707.0
2018-10-24,218.14,218.93,208.4,209.18,4151852.0,0.0,1.0,218.14,218.93,208.4,209.18,4151852.0
2018-10-23,216.59,219.5236,214.32,218.56,3317968.0,0.0,1.0,216.59,219.5236,214.32,218.56,3317968.0
2018-10-22,226.93,228.87,221.52,221.6,2736760.0,0.0,1.0,226.93,228.87,221.52,221.6,2736760.0
2018-10-19,225.26,228.3,224.191,226.96,2758310.0,0.0,1.0,225.26,228.3,224.191,226.96,2758310.0
2018-10-18,227.5,228.73,223.8601,224.95,2995325.0,0.0,1.0,227.5,228.73,223.8601,224.95,2995325.0
2018-10-17,220.53,228.9,220.05,228.28,4953723.0,0.0,1.0,220.53,228.9,220.05,228.28,4953723.0
2018-10-16,219.35,222.0,216.3005,221.7,5922647.0,0.0,1.0,219.35,222.0,216.3005,221.7,5922647.0
2018-10-15,214.45,217.14,213.05,215.22,3332948.0,0.0,1.0,214.45,217.14,213.05,215.22,3332948.0
2018-10-12,217.0,217.98,211.46,213.87,4139949.0,0.0,1.0,217.0,217.98,211.46,213.87,4139949.0
2018-10-11,214.2,216.03,210.95,212.97,6217366.0,0.0,1.0,214.2,216.03,210.95,212.97,6217366.0
2018-10-10,223.24,223.64,214.56,214.89,3953412.0,0.0,1.0,223.24,223.64,214.56,214.89,3953412.0
2018-10-09,224.99,225.12,222.53,222.91,1862920.0,0.0,1.0,224.99,225.12,222.53,222.91,1862920.0
2018-10-08,224.26,226.917,222.5,225.35,2522928.0,0.0,1.0,224.26,226.917,222.5,225.35,2522928.0
2018-10-05,228.0,228.41,224.21,225.71,1722402.0,0.0,1.0,228.0,228.41,224.21,225.71,1722402.0
2018-10-04,229.26,231.4,225.39,227.48,2903626.0,0.0,1.0,229.26,231.4,225.39,227.48,2903626.0
2018-10-03,227.75,229.77,226.58,227.78,2574210.0,0.0,1.0,227.75,229.77,226.58,227.78,2574210.0
2018-10-02,225.28,226.33,223.97,226.07,2272226.0,0.0,1.0,225.28,226.33,223.97,226.07,2272226.0
2018-10-01,226.22,227.59,225.0,225.33,2451295.0,0.0,1.0,226.22,227.59,225.0,225.33,2451295.0
2018-09-28,225.75,227.4,223.8,224.24,3096577.0,0.0,1.0,225.75,227.4,223.8,224.24,3096577.0
2018-09-27,228.77,229.85,227.52,227.74,2451046.0,0.0,1.0,228.77,229.85,227.52,227.74,2451046.0
2018-09-26,232.96,233.0,228.24,228.88,2372116.0,0.0,1.0,232.96,233.0,228.24,228.88,2372116.0
2018-09-25,234.64,234.64,232.225,232.5,2003348.0,0.0,1.0,234.64,234.64,232.225,232.5,2003348.0
2018-09-24,234.74,235.74,232.24,232.9,2056359.0,0.0,1.0,234.74,235.74,232.24,232.9,2056359.0
2018-09-21,238.06,238.52,234.83,235.34,3759912.0,0.0,1.0,238.06,238.52,234.83,235.34,3759912.0
2018-09-20,237.0,238.51,236.03,237.4,2502995.0,0.0,1.0,237.0,238.51,236.03,237.4,2502995.0
2018-09-19,229.9,236.28,229.52,235.58,3715108.0,0.0,1.0,229.9,236.28,229.52,235.58,3715108.0
2018-09-18,228.35,229.4,226.57,228.89,2497355.0,0.0,1.0,228.35,229.4,226.57,228.89,2497355.0
2018-09-17,229.4,230.16,227.3,227.89,1918084.0,0.0,1.0,229.4,230.16,227.3,227.89,1918084.0
2018-09-14,229.08,230.55,228.76,229.24,2228307.0,0.0,1.0,229.08,230.55,228.76,229.24,2228307.0
2018-09-13,229.5,229.85,227.57,228.33,2997588.0,0.0,1.0,229.5,229.85,227.57,228.33,2997588.0
2018-09-12,230.91,231.99,227.3017,228.15,3577707.0,0.0,1.0,230.91,231.99,227.3017,228.15,3577707.0
2018-09-11,230.67,231.65,228.66,230.21,2719540.0,0.0,1.0,230.67,231.65,228.66,230.21,2719540.0
2018-09-10,235.01,235.5,231.74,231.91,1948373.0,0.0,1.0,235.01,235.5,231.74,231.91,1948373.0
2018-09-07,235.05,235.64,232.68,233.91,1952865.0,0.0,1.0,235.05,235.64,232.68,233.91,1952865.0
2018-09-06,237.0,238.63,233.88,234.52,2651425.0,0.0,1.0,237.0,238.63,233.88,234.52,2651425.0
2018-09-05,237.01,239.4497,236.17,237.56,2092063.0,0.0,1.0,237.01,239.4497,236.17,237.56,2092063.0
2018-09-04,237.76,238.12,234.59,237.66,2083623.0,0.0,1.0,237.76,238.12,234.59,237.66,2083623.0
2018-08-31,238.94,239.35,237.12,237.81,1965471.0,0.0,1.0,238.94,239.35,237.12,237.81,1965471.0
2018-08-30,240.8,241.12,238.68,239.4,1963725.0,0.0,1.0,240.8,241.12,238.68,239.4,1963725.0
2018-08-29,242.05,242.79,240.31,241.4,1911702.0,0.8,1.0,242.05,242.79,240.31,241.4,1911702.0
2018-08-28,243.06,245.08,241.59,242.37,2951012.0,0.0,1.0,242.25715937241947,244.2704872006606,240.79201486374896,241.56943848059453,2951012.0
2018-08-27,236.99,243.65,236.56,242.6,4105606.0,0.0,1.0,236.20720891824936,242.84521056977704,235.7786292320396,241.7986787778695,4105606.0
2018-08-24,237.36,237.8,234.7,235.11,1948096.0,0.0,1.0,236.57598678777867,237.01453344343517,233.9247729149463,234.33341866226257,1948096.0
2018-08-23,239.05,239.28,235.84,236.34,2065059.0,0.0,1.0,238.26040462427744,238.4896449215524,235.06100743187446,235.55935590421137,2065059.0
2018-08-22,237.89,239.67,237.58,239.34,1870924.0,0.0,1.0,237.1042361684558,238.8783567299752,236.79526011560694,238.54944673823286,1870924.0
2018-08-21,235.29,239.53,235.29,238.65,2436587.0,0.0,1.0,234.51282411230386,238.73881915772088,234.51282411230386,237.86172584640792,2436587.0
2018-08-20,234.13,235.975,234.075,235.78,2604865.0,0.0,1.0,233.35665565648222,235.19556151940543,233.30183732452517,235.00120561519404,2604865.0
2018-08-17,232.51,233.72,231.64,233.38,2107233.0,0.0,1.0,231.74200660611064,232.94800990916596,230.87488026424438,232.60913294797686,2107233.0
2018-08-16,230.67,233.29,230.45,233.0,2435929.0,0.0,1.0,229.9080842279108,232.5194302229562,229.68881090008253,232.2303881090008,2435929.0
2018-08-15,229.35,231.54,228.31,229.25,3218716.0,0.0,1.0,228.59244426094133,230.77521056977702,227.5558794384806,228.49277456647397,3218716.0
2018-08-14,227.35,230.37,227.3,229.56,2357141.0,0.0,1.0,226.5990503715937,229.60907514450867,226.54921552436002,228.80175061932286,2357141.0
2018-08-13,229.49,229.89,226.57,226.86,2662772.0,0.0,1.0,228.7319818331957,229.1306606110652,225.8216267547481,226.11066886870356,2662772.0
2018-08-10,230.97,231.455,228.11,229.61,3863732.0,0.0,1.0,230.20709331131295,230.69049132947976,227.35654004954583,228.85158546655654,3863732.0
2018-08-09,236.35,236.845,233.39,233.78,2952021.0,0.0,1.0,235.5693228736581,236.06268786127166,232.61909991742357,233.00781172584638,2952021.0
2018-08-08,238.12,239.16,236.23,236.37,2522353.0,0.0,1.0,237.3334764657308,238.37004128819154,235.44971924029724,235.58925681255158,2522353.0
2018-08-07,237.25,239.46,236.49,237.83,2399530.0,0.0,1.0,236.46635012386454,238.6690503715937,235.70886044591245,237.04443435177538,2399530.0
2018-08-06,234.14,236.98,234.03,235.93,2259700.0,0.0,1.0,233.36662262592895,236.1972419488026,233.25698596201485,235.15071015689512,2259700.0
2018-08-03,234.44,235.52,233.49,234.09,3053060.0,0.0,1.0,233.6656317093311,234.74206440957886,232.718769611891,233.31678777869527,3053060.0
2018-08-02,233.93,235.21,232.77,233.99,2579704.0,0.0,1.0,233.15731626754746,234.43308835672997,232.00114781172584,233.2171180842279,2579704.0
