Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,176.88,177.34,170.91,172.23,9472266.0,0.0,1.0,176.88,177.34,170.91,172.23,9472266.0
2018-10-25,177.52,180.5,176.8262,179.07,5227977.0,0.0,1.0,177.52,180.5,176.8262,179.07,5227977.0
2018-10-24,178.58,182.3693,176.31,176.97,6783890.0,0.0,1.0,178.58,182.3693,176.31,176.97,6783890.0
2018-10-23,175.77,179.49,175.44,178.53,6978297.0,0.0,1.0,175.77,179.49,175.44,178.53,6978297.0
2018-10-22,180.82,181.4,177.56,178.75,4802428.0,0.0,1.0,180.82,181.4,177.56,178.75,4802428.0
2018-10-19,180.34,180.99,178.57,179.85,7003956.0,0.0,1.0,180.34,180.99,178.57,179.85,7003956.0
2018-10-18,184.26,185.4,179.53,180.44,9188427.0,0.0,1.0,184.26,185.4,179.53,180.44,9188427.0
2018-10-17,189.64,190.67,183.98,185.17,8985667.0,0.0,1.0,189.64,190.67,183.98,185.17,8985667.0
2018-10-16,191.83,194.08,190.61,193.58,4057379.0,0.0,1.0,191.83,194.08,190.61,193.58,4057379.0
2018-10-15,192.36,193.29,190.7021,191.17,3642752.0,0.0,1.0,192.36,193.29,190.7021,191.17,3642752.0
2018-10-12,192.75,193.59,190.16,192.47,5338424.0,0.0,1.0,192.75,193.59,190.16,192.47,5338424.0
2018-10-11,193.71,196.67,188.47,189.74,5831416.0,0.0,1.0,193.71,196.67,188.47,189.74,5831416.0
2018-10-10,199.11,199.24,193.35,193.7,6063135.0,0.0,1.0,199.11,199.24,193.35,193.7,6063135.0
2018-10-09,197.95,199.18,195.58,195.75,4466322.0,0.0,1.0,197.95,199.18,195.58,195.75,4466322.0
2018-10-08,196.24,198.66,195.06,198.41,3731050.0,0.0,1.0,196.24,198.66,195.06,198.41,3731050.0
2018-10-05,199.07,199.7,194.57,196.38,5015886.0,0.0,1.0,199.07,199.7,194.57,196.38,5015886.0
2018-10-04,203.65,203.76,198.27,198.85,5908831.0,0.0,1.0,203.65,203.76,198.27,198.85,5908831.0
2018-10-03,206.1622,206.46,203.65,203.74,4162453.0,0.0,1.0,206.1622,206.46,203.65,203.74,4162453.0
2018-10-02,207.49,208.04,204.67,204.75,4427699.0,0.0,1.0,207.49,208.04,204.67,204.75,4427699.0
2018-10-01,208.52,209.79,207.37,207.6,3670601.0,0.0,1.0,208.52,209.79,207.37,207.6,3670601.0
2018-09-28,206.44,208.85,206.35,207.15,3966075.0,0.0,1.0,206.44,208.85,206.35,207.15,3966075.0
2018-09-27,207.5,207.83,205.6713,206.84,3217980.0,0.0,1.0,207.5,207.83,205.6713,206.84,3217980.0
2018-09-26,208.58,209.14,207.23,207.52,2965845.0,0.0,1.0,208.58,209.14,207.23,207.52,2965845.0
2018-09-25,208.84,209.3,206.8,207.46,4348210.0,0.0,1.0,208.84,209.3,206.8,207.46,4348210.0
2018-09-24,211.52,211.84,207.96,207.99,4621889.0,0.0,1.0,211.52,211.84,207.96,207.99,4621889.0
2018-09-21,211.3,212.66,210.51,212.39,9748208.0,0.0,1.0,211.3,212.66,210.51,212.39,9748208.0
2018-09-20,211.66,212.61,211.005,211.06,4020776.0,0.0,1.0,211.66,212.61,211.005,211.06,4020776.0
2018-09-19,212.0,212.67,210.66,211.68,2572925.0,0.0,1.0,212.0,212.67,210.66,211.68,2572925.0
2018-09-18,208.63,211.73,208.16,211.02,4337992.0,0.0,1.0,208.63,211.73,208.16,211.02,4337992.0
2018-09-17,209.08,210.035,208.26,208.4,3074055.0,0.0,1.0,209.08,210.035,208.26,208.4,3074055.0
2018-09-14,210.19,210.53,207.55,209.07,3622393.0,0.0,1.0,210.19,210.53,207.55,209.07,3622393.0
2018-09-13,211.44,211.44,208.7,209.45,4680973.0,0.0,1.0,211.44,211.44,208.7,209.45,4680973.0
2018-09-12,214.03,215.43,210.91,211.98,5660075.0,0.0,1.0,214.03,215.43,210.91,211.98,5660075.0
2018-09-11,213.0,214.66,211.5,213.85,5969470.0,0.0,1.0,213.0,214.66,211.5,213.85,5969470.0
2018-09-10,208.13,211.62,208.13,210.69,5585017.0,0.0,1.0,208.13,211.62,208.13,210.69,5585017.0
2018-09-07,205.45,207.2299,205.43,206.23,3672223.0,0.0,1.0,205.45,207.2299,205.43,206.23,3672223.0
2018-09-06,204.59,207.09,203.8,205.89,3490421.0,0.0,1.0,204.59,207.09,203.8,205.89,3490421.0
2018-09-05,204.83,206.67,203.15,204.15,3667069.0,0.0,1.0,204.83,206.67,203.15,204.15,3667069.0
2018-09-04,200.69,205.92,200.5,205.08,4611840.0,0.0,1.0,200.69,205.92,200.5,205.08,4611840.0
2018-08-31,199.38,200.91,199.29,200.77,4023306.0,0.0,1.0,199.38,200.91,199.29,200.77,4023306.0
2018-08-30,201.0,201.44,199.1,199.26,2825531.0,0.0,1.0,201.0,201.44,199.1,199.26,2825531.0
2018-08-29,201.11,201.99,200.7125,201.68,2488194.0,1.03,1.0,201.11,201.99,200.7125,201.68,2488194.0
2018-08-28,202.3,202.4196,200.63,201.97,3516286.0,0.0,1.0,201.2720832716689,201.39107556607962,199.61056879285678,200.94376005130482,3516286.0
2018-08-27,202.83,202.95,201.19,201.98,2521349.0,0.0,1.0,201.79939026195058,201.91878052390112,200.1677233486261,200.9537092398007,2521349.0
