Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,45.59,46.44,44.7,45.69,67280359.0,0.0,1.0,45.59,46.44,44.7,45.69,67280359.0
2018-10-25,43.54,44.94,43.28,44.31,48255281.0,0.0,1.0,43.54,44.94,43.28,44.31,48255281.0
2018-10-24,44.16,44.36,42.36,42.42,33631803.0,0.0,1.0,44.16,44.36,42.36,42.42,33631803.0
2018-10-23,44.18,45.09,43.91,44.5,38590347.0,0.0,1.0,44.18,45.09,43.91,44.5,38590347.0
2018-10-22,44.5,45.34,44.1,45.01,34508833.0,0.0,1.0,44.5,45.34,44.1,45.01,34508833.0
2018-10-19,45.02,45.18,43.86,44.0,28368505.0,0.0,1.0,45.02,45.18,43.86,44.0,28368505.0
2018-10-18,45.65,45.75,44.83,44.97,26638830.0,0.0,1.0,45.65,45.75,44.83,44.97,26638830.0
2018-10-17,46.0,46.33,45.54,45.89,23124370.0,0.0,1.0,46.0,46.33,45.54,45.89,23124370.0
2018-10-16,44.9,46.01,44.825,45.94,21471984.0,0.0,1.0,44.9,46.01,44.825,45.94,21471984.0
2018-10-15,44.63,45.14,44.44,44.53,21632953.0,0.0,1.0,44.63,45.14,44.44,44.53,21632953.0
2018-10-12,45.27,45.3429,44.23,44.88,31343134.0,0.0,1.0,45.27,45.3429,44.23,44.88,31343134.0
2018-10-11,45.15,45.61,43.73,44.23,43648820.0,0.0,1.0,45.15,45.61,43.73,44.23,43648820.0
2018-10-10,46.06,46.12,44.8,44.8,43109488.0,0.0,1.0,46.06,46.12,44.8,44.8,43109488.0
2018-10-09,47.18,47.62,46.54,46.55,23285714.0,0.0,1.0,47.18,47.62,46.54,46.55,23285714.0
2018-10-08,46.96,47.35,46.52,47.03,19376820.0,0.0,1.0,46.96,47.35,46.52,47.03,19376820.0
2018-10-05,48.23,48.34,46.66,47.03,28901448.0,0.0,1.0,48.23,48.34,46.66,47.03,28901448.0
2018-10-04,48.84,48.86,47.62,48.13,30108253.0,0.0,1.0,48.84,48.86,47.62,48.13,30108253.0
2018-10-03,48.62,49.72,48.56,48.76,39211946.0,0.0,1.0,48.62,49.72,48.56,48.76,39211946.0
2018-10-02,47.51,48.88,47.32,48.1,42121090.0,0.0,1.0,47.51,48.88,47.32,48.1,42121090.0
2018-10-01,46.79,47.22,46.2,46.45,23797630.0,0.0,1.0,46.79,47.22,46.2,46.45,23797630.0
2018-09-28,45.62,47.75,45.46,47.29,46223464.0,0.0,1.0,45.62,47.75,45.46,47.29,46223464.0
2018-09-27,45.91,46.165,45.73,45.88,15415535.0,0.0,1.0,45.91,46.165,45.73,45.88,15415535.0
2018-09-26,46.04,46.3,45.58,45.7,23957663.0,0.0,1.0,46.04,46.3,45.58,45.7,23957663.0
2018-09-25,46.22,46.39,45.8,45.91,23389874.0,0.0,1.0,46.22,46.39,45.8,45.91,23389874.0
2018-09-24,46.31,47.0,46.15,46.91,17846994.0,0.0,1.0,46.31,47.0,46.15,46.91,17846994.0
2018-09-21,47.12,47.419,46.37,46.66,52650601.0,0.0,1.0,47.12,47.419,46.37,46.66,52650601.0
2018-09-20,46.78,47.36,46.52,47.2,21999267.0,0.0,1.0,46.78,47.36,46.52,47.2,21999267.0
2018-09-19,46.09,46.44,45.89,46.15,15918914.0,0.0,1.0,46.09,46.44,45.89,46.15,15918914.0
2018-09-18,45.58,46.53,45.41,46.1,20528084.0,0.0,1.0,45.58,46.53,45.41,46.1,20528084.0
2018-09-17,45.29,45.9,45.19,45.42,17603171.0,0.0,1.0,45.29,45.9,45.19,45.42,17603171.0
2018-09-14,45.78,45.965,45.35,45.54,22998666.0,0.0,1.0,45.78,45.965,45.35,45.54,22998666.0
2018-09-13,45.68,45.85,45.11,45.57,18657116.0,0.0,1.0,45.68,45.85,45.11,45.57,18657116.0
2018-09-12,44.56,44.98,44.06,44.93,29778722.0,0.0,1.0,44.56,44.98,44.06,44.93,29778722.0
2018-09-11,46.0,46.03,44.89,44.93,32455320.0,0.0,1.0,46.0,46.03,44.89,44.93,32455320.0
2018-09-10,46.56,46.76,46.23,46.3,21522362.0,0.0,1.0,46.56,46.76,46.23,46.3,21522362.0
2018-09-07,46.91,47.48,46.36,46.45,25958345.0,0.0,1.0,46.91,47.48,46.36,46.45,25958345.0
2018-09-06,47.76,47.96,47.21,47.26,19318129.0,0.0,1.0,47.76,47.96,47.21,47.26,19318129.0
2018-09-05,47.75,48.12,47.47,47.72,20857150.0,0.0,1.0,47.75,48.12,47.47,47.72,20857150.0
2018-09-04,48.38,48.4267,47.5601,47.96,15682894.0,0.0,1.0,48.38,48.4267,47.5601,47.96,15682894.0
2018-08-31,47.96,48.56,47.92,48.43,16483981.0,0.0,1.0,47.96,48.56,47.92,48.43,16483981.0
2018-08-30,48.52,48.83,48.09,48.24,16418812.0,0.0,1.0,48.52,48.83,48.09,48.24,16418812.0
2018-08-29,48.7,48.86,48.4,48.75,13479099.0,0.0,1.0,48.7,48.86,48.4,48.75,13479099.0
2018-08-28,48.55,48.79,48.31,48.57,13472427.0,0.0,1.0,48.55,48.79,48.31,48.57,13472427.0
2018-08-27,48.0,48.39,47.63,48.35,17170257.0,0.0,1.0,48.0,48.39,47.63,48.35,17170257.0
