Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,137.94,139.3,135.33,136.97,11371301.0,0.0,1.0,137.94,139.3,135.33,136.97,11371301.0
2018-10-25,137.46,139.09,135.05,138.47,9720715.0,0.0,1.0,137.46,139.09,135.05,138.47,9720715.0
2018-10-24,138.52,140.11,137.17,137.47,8148997.0,0.0,1.0,138.52,140.11,137.17,137.47,8148997.0
2018-10-23,137.79,139.49,137.45,138.93,8278845.0,0.0,1.0,137.79,139.49,137.45,138.93,8278845.0
2018-10-22,138.61,139.26,138.14,138.68,4637394.0,0.0,1.0,138.61,139.26,138.14,138.68,4637394.0
2018-10-19,138.34,140.0,137.91,139.05,5924794.0,0.0,1.0,138.34,140.0,137.91,139.05,5924794.0
2018-10-18,139.2,139.81,137.71,139.5,7583928.0,0.0,1.0,139.2,139.81,137.71,139.5,7583928.0
2018-10-17,136.23,140.0,136.21,139.46,8261107.0,0.0,1.0,136.23,140.0,136.21,139.46,8261107.0
2018-10-16,134.75,137.99,134.75,136.56,9592383.0,0.0,1.0,134.75,137.99,134.75,136.56,9592383.0
2018-10-15,133.88,135.3,133.51,133.95,6398590.0,0.0,1.0,133.88,135.3,133.51,133.95,6398590.0
2018-10-12,134.4,134.41,132.23,133.87,6850981.0,0.0,1.0,134.4,134.41,132.23,133.87,6850981.0
2018-10-11,137.91,138.66,132.88,133.84,11603189.0,0.0,1.0,137.91,138.66,132.88,133.84,11603189.0
2018-10-10,139.35,140.46,137.73,137.73,6785102.0,0.0,1.0,139.35,140.46,137.73,137.73,6785102.0
2018-10-09,138.74,139.62,137.81,139.2,4475282.0,0.0,1.0,138.74,139.62,137.81,139.2,4475282.0
2018-10-08,138.9,139.68,138.62,139.39,5174106.0,0.0,1.0,138.9,139.68,138.62,139.39,5174106.0
2018-10-05,139.8,140.25,138.56,139.1,4308820.0,0.0,1.0,139.8,140.25,138.56,139.1,4308820.0
2018-10-04,138.55,139.53,137.32,139.35,4627338.0,0.0,1.0,138.55,139.53,137.32,139.35,4627338.0
2018-10-03,140.54,141.27,138.88,139.03,5411809.0,0.0,1.0,140.54,141.27,138.88,139.03,5411809.0
2018-10-02,139.79,140.73,139.65,140.48,6438732.0,0.0,1.0,139.79,140.73,139.65,140.48,6438732.0
2018-10-01,138.26,139.85,138.0,139.69,4872153.0,0.0,1.0,138.26,139.85,138.0,139.69,4872153.0
2018-09-28,138.1,138.56,137.41,138.17,6235986.0,0.0,1.0,138.1,138.56,137.41,138.17,6235986.0
2018-09-27,138.45,139.5786,137.57,138.22,6392653.0,0.0,1.0,138.45,139.5786,137.57,138.22,6392653.0
2018-09-26,138.95,140.0,137.96,138.16,6976181.0,0.0,1.0,138.95,140.0,137.96,138.16,6976181.0
2018-09-25,140.53,140.96,138.4,138.64,7795513.0,0.0,1.0,140.53,140.96,138.4,138.64,7795513.0
2018-09-24,142.1,142.5,140.23,140.47,6708044.0,0.0,1.0,142.1,142.5,140.23,140.47,6708044.0
2018-09-21,142.18,143.13,141.69,142.88,13283427.0,0.0,1.0,142.18,143.13,141.69,142.88,13283427.0
2018-09-20,140.82,142.14,140.51,141.98,5019257.0,0.0,1.0,140.82,142.14,140.51,141.98,5019257.0
2018-09-19,140.76,140.99,140.05,140.46,5049234.0,0.0,1.0,140.76,140.99,140.05,140.46,5049234.0
2018-09-18,140.27,140.84,139.83,140.54,4566212.0,0.0,1.0,140.27,140.84,139.83,140.54,4566212.0
2018-09-17,139.33,140.4,139.18,139.96,5280075.0,0.0,1.0,139.33,140.4,139.18,139.96,5280075.0
2018-09-14,140.0,140.35,139.1,139.49,4534848.0,0.0,1.0,140.0,140.35,139.1,139.49,4534848.0
2018-09-13,139.89,140.48,139.02,139.89,6412394.0,0.0,1.0,139.89,140.48,139.02,139.89,6412394.0
2018-09-12,138.9,139.99,138.56,139.36,6767681.0,0.0,1.0,138.9,139.99,138.56,139.36,6767681.0
2018-09-11,137.64,138.91,137.22,138.51,7856779.0,0.0,1.0,137.64,138.91,137.22,138.51,7856779.0
2018-09-10,137.53,138.4716,137.06,137.21,4892017.0,0.0,1.0,137.53,138.4716,137.06,137.21,4892017.0
2018-09-07,136.78,137.69,135.745,137.32,6374666.0,0.0,1.0,136.78,137.69,135.745,137.32,6374666.0
2018-09-06,135.5,137.31,135.18,136.87,6561963.0,0.0,1.0,135.5,137.31,135.18,136.87,6561963.0
2018-09-05,133.48,135.94,133.46,135.86,6174815.0,0.0,1.0,133.48,135.94,133.46,135.86,6174815.0
2018-09-04,134.69,134.75,133.44,133.72,4406371.0,0.0,1.0,134.69,134.75,133.44,133.72,4406371.0
2018-08-31,134.6,135.0,133.97,134.69,6139490.0,0.0,1.0,134.6,135.0,133.97,134.69,6139490.0
2018-08-30,134.7,135.6,134.6,134.95,4822040.0,0.0,1.0,134.7,135.6,134.6,134.95,4822040.0
2018-08-29,134.32,134.944,133.94,134.86,4648794.0,0.0,1.0,134.32,134.944,133.94,134.86,4648794.0
2018-08-28,134.78,134.9,133.89,134.32,6037492.0,0.0,1.0,134.78,134.9,133.89,134.32,6037492.0
2018-08-27,135.5,136.05,134.21,134.92,4325878.0,0.9,1.0,135.5,136.05,134.21,134.92,4325878.0
2018-08-24,135.11,136.1464,134.83,135.95,4809455.0,0.0,1.0,134.2147047562951,135.24423713738773,133.9365601531439,135.04913856574876,4809455.0
2018-08-23,134.61,135.49,134.1,135.11,5057560.0,0.0,1.0,133.71801796495362,134.59218671771464,133.2113974377853,134.2147047562951,5057560.0
2018-08-22,135.56,135.68,134.42,134.61,4688593.0,0.0,1.0,134.66172286850244,134.7809276984244,133.52927698424384,133.71801796495362,4688593.0
2018-08-21,137.0,137.43,135.3,135.35,5832064.0,0.0,1.0,136.0921808275659,136.51933146811956,134.40344573700486,134.453114416139,5832064.0
2018-08-20,134.93,137.12,134.0,136.88,7934949.0,0.0,1.0,134.03589751141217,136.21138565748785,133.112060079517,135.97297599764394,7934949.0
2018-08-17,132.45,135.0,132.19,134.47,6700916.0,0.0,1.0,131.5723310263584,134.10543366219997,131.31405389486085,133.578945663378,6700916.0
2018-08-16,131.02,132.88,130.57,132.48,7789001.0,0.0,1.0,130.1518068031218,131.9994816669121,129.70478869091443,131.6021322338389,7789001.0
2018-08-15,129.75,130.74,128.93,130.43,5346961.0,0.0,1.0,128.8902223531144,129.87366219997057,128.0756560153144,129.56571638933883,5346961.0
2018-08-14,129.67,130.47,129.35,129.5,4542802.0,0.0,1.0,128.81075246649976,129.60545133264614,128.4928729200412,128.64187895744368,4542802.0
2018-08-13,130.72,130.9,129.85,130.22,3778022.0,0.0,1.0,129.8537947283169,130.03260197319983,128.9895597113827,129.3571079369754,3778022.0
2018-08-10,131.19,131.63,130.26,130.75,4324061.0,0.0,1.0,130.32068031217787,130.75776468855838,129.39684288028272,129.8835959357974,4324061.0
2018-08-09,131.54,131.72,130.67,131.2,4058143.0,0.0,1.0,130.66836106611692,130.84716831099985,129.8041260491827,130.3306140480047,4058143.0
2018-08-08,131.49,131.8,130.89,131.17,3721558.0,0.0,1.0,130.6186923869828,130.9266381976145,130.02266823737298,130.3008128405242,3721558.0
2018-08-07,131.88,132.17,131.3,131.46,4626836.0,0.0,1.0,131.0061080842291,131.29418642320718,130.429951406273,130.5888911795023,4626836.0
2018-08-06,131.64,132.53,131.01,132.02,5840245.0,0.0,1.0,130.7676984243852,131.65180091297304,130.14187306729494,131.14518038580474,5840245.0
2018-08-03,131.18,132.7,130.9,131.95,6498714.0,0.0,1.0,130.31074657635105,131.82067442202913,130.03260197319983,131.0756442350169,6498714.0
2018-08-02,132.89,133.0,131.09,131.25,6563448.0,0.0,1.0,132.0094154027389,132.11868649683404,130.22134295390958,130.38028272713885,6563448.0
2018-08-01,132.39,132.96,132.08,132.64,5770549.0,0.0,1.0,131.51272861139742,132.07895155352674,131.20478280076574,131.76107200706815,5770549.0
2018-07-31,132.28,132.64,131.77,132.52,7597299.0,0.0,1.0,131.40345751730231,131.76107200706815,130.896836990134,131.64186717714622,7597299.0
2018-07-30,131.78,132.49,131.25,132.17,11013512.0,0.0,1.0,130.90677072596083,131.61206596966574,130.38028272713885,131.29418642320718,11013512.0
2018-07-27,129.98,132.27,129.94,131.55,6735264.0,0.0,1.0,129.11869827713147,131.3935237814755,129.07896333382416,130.67829480194376,6735264.0
2018-07-26,129.9,131.22,129.85,130.28,7639607.0,0.0,1.0,129.03922839051685,130.35048151965836,128.9895597113827,129.4167103519364,7639607.0
2018-07-25,129.14,129.23,127.65,128.62,6523426.0,0.0,1.0,128.2842644676778,128.37366809011925,126.8041378294802,127.76771020468267,6523426.0
2018-07-24,127.24,129.62,127.15,129.36,7158802.0,0.0,1.0,126.39685466058017,128.76108378736564,126.30745103813871,128.50280665586808,7158802.0
2018-07-23,125.75,126.68,125.45,126.63,4613805.0,0.0,1.0,124.91672802238256,125.84056545427772,124.61871594757767,125.79089677514357,4613805.0
2018-07-20,125.3,126.14,125.12,125.85,5862327.0,0.0,1.0,124.46970991017523,125.30414371962891,124.2909026652923,125.01606538065086,5862327.0
2018-07-19,127.53,127.7,125.87,125.94,5969270.0,0.0,1.0,126.68493299955824,126.85380650861434,125.03593285230453,125.10546900309232,5969270.0
2018-07-18,128.81,129.05,127.17,127.8,7152219.0,0.0,1.0,127.95645118539242,128.19486084523635,126.32731850979238,126.95314386688263,7152219.0
2018-07-17,128.53,130.54,127.5638,129.11,12855187.0,0.0,1.0,127.6783065822412,129.67498748343394,126.71850902665292,128.25446326019733,12855187.0
2018-07-16,126.0,126.1,124.16,124.69,7314433.0,0.0,1.0,125.1650714180533,125.26440877632159,123.33726402591665,123.86375202473862,7314433.0
2018-07-13,125.32,127.5,125.32,125.93,8252131.0,0.0,1.0,124.48957738182888,126.65513179207775,124.48957738182888,125.0955352672655,8252131.0
2018-07-12,127.71,128.21,127.17,127.76,6179501.0,0.0,1.0,126.86374024444116,127.36042703578266,126.32731850979238,126.91340892357532,6179501.0
2018-07-11,127.41,127.4401,126.06,126.24,4821660.0,0.0,1.0,126.56572816963627,126.59562871447504,125.22467383301428,125.40348107789721,4821660.0
2018-07-10,126.37,127.52,126.11,127.38,5072532.0,0.0,1.0,125.532619643646,126.67499926373141,125.27434251214842,126.53592696215578,5072532.0
2018-07-09,126.22,126.75,125.6,126.05,6702343.0,0.0,1.0,125.38361360624356,125.91010160506552,124.76772198498011,125.21474009718744,6702343.0
2018-07-06,125.16,125.92,124.61,125.75,7311962.0,0.0,1.0,124.33063760859962,125.08560153143867,123.78428213812398,124.91672802238256,7311962.0
2018-07-05,123.6,125.12,123.23,125.0,7319147.0,0.0,1.0,122.78097481961419,124.2909026652923,122.4134265940215,124.17169783537034,7319147.0
2018-07-03,121.65,123.46,121.26,122.71,4248060.0,0.0,1.0,120.84389633338242,122.64190251803858,120.45648063613606,121.89687233102634,4248060.0
2018-07-02,121.34,121.73,120.11,121.58,5481056.0,0.0,1.0,120.5359505227507,120.92336621999705,119.31410101605066,120.7743601825946,5481056.0
2018-06-29,122.24,123.18,121.19,121.34,7728480.0,0.0,1.0,121.42998674716536,122.36375791488736,120.38694448534825,120.5359505227507,7728480.0
2018-06-28,121.78,122.41,121.07,122.0,5296853.0,0.0,1.0,120.9730348991312,121.59886025622146,120.26773965542628,121.19157708732145,5296853.0
2018-06-27,122.13,122.97,121.4527,121.61,5666040.0,0.0,1.0,121.32071565307024,122.15514946252392,120.64790372551906,120.8041613900751,5666040.0
2018-06-26,122.49,122.89,121.6,122.35,5496350.0,0.0,1.0,121.6783301428361,122.07567957590929,120.79422765424826,121.53925784126048,5496350.0
2018-06-25,122.82,123.43,121.51,122.59,8170503.0,0.0,1.0,122.00614342512148,122.61210131055809,120.70482403180681,121.7776675011044,8170503.0
2018-06-22,121.68,123.38,121.65,122.84,10239303.0,0.0,1.0,120.8736975408629,122.56243263142393,120.84389633338242,122.02601089677515,10239303.0
2018-06-21,121.83,122.24,121.11,121.45,4417134.0,0.0,1.0,121.02270357826535,121.42998674716536,120.30747459873362,120.64522161684583,4417134.0
2018-06-20,122.42,122.66,121.66,122.04,6276432.0,0.0,1.0,121.60879399204829,121.8472036518922,120.85383006920924,121.23131203062877,6276432.0
2018-06-19,120.66,123.1735,120.57,122.57,8572294.0,0.0,1.0,119.86045648652627,122.35730098659991,119.77105286408481,121.75780002945073,8572294.0
2018-06-18,121.61,121.8125,120.25,121.32,6784149.0,0.0,1.0,120.8041613900751,121.0053195405684,119.45317331762627,120.51608305109703,6784149.0
2018-06-15,122.1,122.7285,121.2401,122.61,13173211.0,0.0,1.0,121.29091444558975,121.91524974230599,120.43671250184066,121.79753497275806,13173211.0
2018-06-14,122.71,123.15,122.09,122.41,5238725.0,0.0,1.0,121.89687233102634,122.33395670740687,121.28098070976291,121.59886025622146,5238725.0
2018-06-13,123.15,124.09,122.46,122.63,5836658.0,0.0,1.0,122.33395670740687,123.26772787512884,121.64852893535561,121.81740244441171,5836658.0
2018-06-12,123.16,123.18,121.95,122.54,5227201.0,0.0,1.0,122.34389044323369,122.36375791488736,121.1419084081873,121.72799882197026,5227201.0
2018-06-11,124.27,124.34,122.55,122.66,5571389.0,0.0,1.0,123.44653512001177,123.51607127079959,121.73793255779708,121.8472036518922,5571389.0
2018-06-08,123.36,124.845,123.33,124.06,6207807.0,0.0,1.0,122.54256515977028,124.01772493005448,122.51276395228979,123.23792666764835,6207807.0
2018-06-07,123.0,123.49,122.27,123.33,7413897.0,0.0,1.0,122.18495067000441,122.67170372551907,121.45978795464585,122.51276395228979,7413897.0
2018-06-06,121.97,122.79,121.4616,122.79,6798291.0,0.0,1.0,121.16177587984096,121.976342217641,120.65674475040495,121.976342217641,6798291.0
2018-06-05,122.05,122.555,120.9,121.48,5125281.0,0.0,1.0,121.24124576645559,121.7428994257105,120.0988661463702,120.67502282432632,5125281.0
