Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,104.0,104.56,102.73,103.42,19173877.0,0.0,1.0,104.0,104.56,102.73,103.42,19173877.0
2018-10-25,104.18,105.9,103.72,104.86,17464708.0,0.0,1.0,104.18,105.9,103.72,104.86,17464708.0
2018-10-24,104.76,105.03,102.9068,103.29,23157581.0,0.0,1.0,104.76,105.03,102.9068,103.29,23157581.0
2018-10-23,104.2,106.16,103.7,105.25,21406813.0,0.0,1.0,104.2,106.16,103.7,105.25,21406813.0
2018-10-22,108.15,108.34,106.1132,106.36,16194402.0,0.0,1.0,108.15,108.34,106.1132,106.36,16194402.0
2018-10-19,107.65,109.22,107.27,107.91,15233804.0,0.0,1.0,107.65,109.22,107.27,107.91,15233804.0
2018-10-18,109.02,109.84,107.81,108.09,17581080.0,0.0,1.0,109.02,109.84,107.81,108.09,17581080.0
2018-10-17,108.38,110.8,108.23,109.83,18794482.0,0.0,1.0,108.38,110.8,108.23,109.83,18794482.0
2018-10-16,107.16,108.78,106.73,108.62,19301350.0,0.0,1.0,107.16,108.78,106.73,108.62,19301350.0
2018-10-15,107.2,108.85,106.32,106.34,18899754.0,0.0,1.0,107.2,108.85,106.32,106.34,18899754.0
2018-10-12,110.37,110.83,105.6,106.95,32026620.0,0.0,1.0,110.37,110.83,105.6,106.95,32026620.0
2018-10-11,110.97,111.47,107.38,108.13,33705616.0,0.0,1.0,110.97,111.47,107.38,108.13,33705616.0
2018-10-10,114.7,114.95,111.47,111.47,23085079.0,0.0,1.0,114.7,114.95,111.47,111.47,23085079.0
2018-10-09,114.67,115.03,113.67,114.52,14065547.0,0.0,1.0,114.67,115.03,113.67,114.52,14065547.0
2018-10-08,114.25,115.78,113.3534,115.32,14369230.0,0.0,1.0,114.25,115.78,113.3534,115.32,14369230.0
2018-10-05,115.83,116.1,114.015,114.62,13775899.0,0.0,1.0,115.83,116.1,114.015,114.62,13775899.0
2018-10-04,114.55,116.81,114.21,115.27,16356138.0,0.8,1.0,114.55,116.81,114.21,115.27,16356138.0
2018-10-03,114.94,115.66,114.48,115.04,17141962.0,0.0,1.0,114.14778840354958,114.86282588093391,113.69095890410959,114.24709916429741,17141962.0
2018-10-02,113.36,114.12,112.8128,113.97,13750635.0,0.0,1.0,112.57867838373396,113.33344016541743,112.03524990092185,113.18447402429568,13750635.0
2018-10-01,113.37,114.61,113.04,113.5,10146941.0,0.0,1.0,112.58860945980874,113.82006289308175,112.26088394934092,112.71771344878091,10146941.0
2018-09-28,113.65,114.24,112.52,112.84,15813322.0,0.0,1.0,112.86667958990265,113.45261307831481,111.74446799345222,112.06226242784527,15813322.0
2018-09-27,115.42,115.76,114.16,114.52,13281324.0,0.0,1.0,114.62448005513914,114.96213664168175,113.37316446971654,113.73068320840872,13281324.0
2018-09-26,116.75,116.8699,114.66,115.02,14019327.0,0.0,1.0,115.94531317308521,116.06438677522185,113.86971827345567,114.22723701214784,14019327.0
2018-09-25,117.04,117.97,116.32,116.39,9305970.0,0.0,1.0,116.23331437925391,117.15690445420867,115.51827690186956,115.58779443439305,9305970.0
2018-09-24,117.76,118.46,116.4315,116.72,12492054.0,0.0,1.0,116.94835185663824,117.643527181873,115.62900840010339,115.91551994486086,12492054.0
2018-09-21,119.13,119.23,117.74,117.85,24787409.0,0.0,1.0,118.30890927888343,118.40822003963126,116.92848970448867,117.03773154131127,24787409.0
2018-09-20,118.5,119.24,118.08,118.63,15589976.0,0.0,1.0,117.68325148617214,118.41815111570604,117.26614629103128,117.8123554751443,15589976.0
2018-09-19,114.44,118.06,114.44,117.62,16051081.0,0.0,1.0,113.65123459981045,117.2462841388817,113.65123459981045,116.80931679159129,16051081.0
2018-09-18,114.33,114.655,113.56,114.3,7941254.0,0.0,1.0,113.54199276298785,113.86475273541828,112.77729990522961,113.5121995347635,7941254.0
2018-09-17,113.79,114.43,113.3,113.84,9555463.0,0.0,1.0,113.0057146549496,113.64130352373569,112.51909192728526,113.05537003532352,9555463.0
2018-09-14,113.81,114.49,113.23,113.5,10337948.0,0.0,1.0,113.02557680709917,113.70088998018437,112.44957439476178,112.71771344878091,10337948.0
2018-09-13,113.37,114.13,112.67,113.52,12415247.0,0.0,1.0,112.58860945980874,113.34337124149219,111.89343413457397,112.73757560093047,12415247.0
2018-09-12,114.25,114.88,112.85,113.08,10800758.0,0.0,1.0,113.46254415438959,114.08820194710088,112.07219350392005,112.30060825364005,10800758.0
2018-09-11,113.54,114.575,113.18,114.43,9333781.0,0.0,1.0,112.75743775308004,113.78530412682002,112.39991901438788,113.64130352373569,9333781.0
2018-09-10,114.85,114.97,113.66,113.71,8276789.0,0.0,1.0,114.05840871887654,114.17758163177393,112.87661066597742,112.92626604635133,8276789.0
2018-09-07,114.5,114.77,113.63,114.32,10954658.0,0.0,1.0,113.71082105625915,113.97896011027828,112.84681743775307,113.53206168691307,10954658.0
2018-09-06,114.5,114.7,113.5,114.1,9877592.0,0.0,1.0,113.71082105625915,113.9094425777548,112.71771344878091,113.31357801326784,9877592.0
2018-09-05,115.0,115.7,114.25,114.59,11461360.0,0.0,1.0,114.20737485999828,114.90255018523305,113.46254415438959,113.8002007409322,11461360.0
2018-09-04,114.34,115.24,113.63,115.15,10169902.0,0.0,1.0,113.55192383906264,114.44572068579305,112.84681743775307,114.35634100112001,10169902.0
2018-08-31,114.83,114.84,113.819,114.58,12964876.0,0.0,1.0,114.03854656672698,114.04847764280176,113.03451477556648,113.79026966485742,12964876.0
2018-08-30,115.59,116.04,114.98,115.19,8991172.0,0.0,1.0,114.79330834841045,115.24020677177566,114.18751270784871,114.39606530541914,8991172.0
2018-08-29,116.35,116.37,115.36,115.76,7220466.0,0.0,1.0,115.5480701300939,115.56793228224348,114.56489359869045,114.96213664168175,7220466.0
2018-08-28,117.0,117.03,115.97,116.14,8302618.0,0.0,1.0,116.19359007495477,116.22338330317912,115.17068923925217,115.33951753252347,8302618.0
2018-08-27,115.22,117.28,115.17,116.71,13758165.0,0.0,1.0,114.42585853364349,116.47166020504868,114.37620315326959,115.90558886878607,13758165.0
2018-08-24,114.98,115.22,114.451,114.68,8843813.0,0.0,1.0,114.18751270784871,114.42585853364349,113.66215878349271,113.88958042560525,8843813.0
2018-08-23,114.96,115.15,114.43,114.73,9265593.0,0.0,1.0,114.16765055569914,114.35634100112001,113.64130352373569,113.93923580597915,9265593.0
2018-08-22,115.31,115.41,114.78,114.97,8314811.0,0.0,1.0,114.51523821831654,114.61454897906435,113.98889118635306,114.17758163177393,8314811.0
2018-08-21,115.37,116.385,114.88,115.32,10963828.0,0.0,1.0,114.57482467476524,115.58282889635565,114.08820194710088,114.5251692943913,10963828.0
2018-08-20,114.59,115.05,114.11,114.62,8618139.0,0.0,1.0,113.8002007409322,114.25703024037219,113.32350908934264,113.82999396915655,8618139.0
