Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,183.31,186.655,181.98,184.95,3546243.0,0.0,1.0,183.31,186.655,181.98,184.95,3546243.0
2018-10-25,186.57,187.48,182.36,184.99,3535175.0,0.0,1.0,186.57,187.48,182.36,184.99,3535175.0
2018-10-24,192.1,192.96,183.97,184.54,5003035.0,0.0,1.0,192.1,192.96,183.97,184.54,5003035.0
2018-10-23,188.8,194.89,184.5,192.55,8255593.0,0.0,1.0,188.8,194.89,184.5,192.55,8255593.0
2018-10-22,201.25,203.4,199.69,201.36,3235202.0,0.0,1.0,201.25,203.4,199.69,201.36,3235202.0
2018-10-19,200.12,201.1,198.37,199.85,3165809.0,0.0,1.0,200.12,201.1,198.37,199.85,3165809.0
2018-10-18,202.34,202.52,198.4,200.38,2339487.0,0.0,1.0,202.34,202.52,198.4,200.38,2339487.0
2018-10-17,201.79,203.77,200.445,202.93,1824202.0,0.0,1.0,201.79,203.77,200.445,202.93,1824202.0
2018-10-16,200.46,202.52,199.23,202.33,1939519.0,0.0,1.0,200.46,202.52,199.23,202.33,1939519.0
2018-10-15,197.82,200.7,197.4185,198.94,1812648.0,0.0,1.0,197.82,200.7,197.4185,198.94,1812648.0
2018-10-12,200.87,202.55,195.93,198.23,2761503.0,0.0,1.0,200.87,202.55,195.93,198.23,2761503.0
2018-10-11,201.15,202.91,196.5,196.73,3497220.0,0.0,1.0,201.15,202.91,196.5,196.73,3497220.0
2018-10-10,209.19,209.19,201.55,202.15,3460803.0,0.0,1.0,209.19,209.19,201.55,202.15,3460803.0
2018-10-09,212.68,213.11,209.635,210.42,2947468.0,0.0,1.0,212.68,213.11,209.635,210.42,2947468.0
2018-10-08,213.13,214.58,212.26,214.37,1666709.0,0.0,1.0,213.13,214.58,212.26,214.37,1666709.0
2018-10-05,214.35,215.03,211.06,213.19,2140346.0,0.0,1.0,214.35,215.03,211.06,213.19,2140346.0
2018-10-04,214.85,215.66,212.035,213.84,1680403.0,0.0,1.0,214.85,215.66,212.035,213.84,1680403.0
2018-10-03,216.0,217.34,214.94,215.76,2139342.0,0.0,1.0,216.0,217.34,214.94,215.76,2139342.0
2018-10-02,212.38,215.84,212.1,215.71,1749312.0,0.0,1.0,212.38,215.84,212.1,215.71,1749312.0
2018-10-01,212.4,213.4,211.31,212.19,1828900.0,0.0,1.0,212.4,213.4,211.31,212.19,1828900.0
2018-09-28,209.53,211.275,208.87,210.71,2456556.0,0.0,1.0,209.53,211.275,208.87,210.71,2456556.0
2018-09-27,212.0,212.87,210.0,210.11,1609765.0,0.0,1.0,212.0,212.87,210.0,210.11,1609765.0
2018-09-26,211.49,212.59,210.64,211.07,1644159.0,0.0,1.0,211.49,212.59,210.64,211.07,1644159.0
2018-09-25,214.13,214.13,210.28,210.64,1946524.0,0.0,1.0,214.13,214.13,210.28,210.64,1946524.0
2018-09-24,215.39,215.865,212.69,213.51,2044908.0,0.0,1.0,215.39,215.865,212.69,213.51,2044908.0
2018-09-21,217.32,217.87,215.61,216.33,5563650.0,0.0,1.0,217.32,217.87,215.61,216.33,5563650.0
2018-09-20,214.7,217.0,213.26,215.27,2075050.0,0.0,1.0,214.7,217.0,213.26,215.27,2075050.0
2018-09-19,211.77,214.1399,211.63,213.12,1884475.0,0.0,1.0,211.77,214.1399,211.63,213.12,1884475.0
2018-09-18,210.24,211.825,208.43,211.53,1652867.0,0.0,1.0,210.24,211.825,208.43,211.53,1652867.0
2018-09-17,207.46,210.19,207.3,209.53,1609903.0,0.0,1.0,207.46,210.19,207.3,209.53,1609903.0
2018-09-14,208.84,210.295,207.15,207.88,1721586.0,0.0,1.0,208.84,210.295,207.15,207.88,1721586.0
2018-09-13,207.34,209.14,206.55,209.05,2161621.0,0.0,1.0,207.34,209.14,206.55,209.05,2161621.0
2018-09-12,212.3,214.76,205.9,206.71,4936955.0,0.0,1.0,212.3,214.76,205.9,206.71,4936955.0
2018-09-11,211.36,212.22,210.0,211.78,1967488.0,0.0,1.0,211.36,212.22,210.0,211.78,1967488.0
2018-09-10,213.68,216.37,212.86,212.93,2399745.0,0.0,1.0,213.68,216.37,212.86,212.93,2399745.0
2018-09-07,212.24,212.97,209.97,212.57,2714511.0,0.0,1.0,212.24,212.97,209.97,212.57,2714511.0
2018-09-06,212.0,213.37,211.07,212.74,2363463.0,0.0,1.0,212.0,213.37,211.07,212.74,2363463.0
2018-09-05,208.29,211.91,207.3512,211.83,1950850.0,0.0,1.0,208.29,211.91,207.3512,211.83,1950850.0
2018-09-04,210.55,210.75,207.545,208.6,2108469.0,0.0,1.0,210.55,210.75,207.545,208.6,2108469.0
2018-08-31,209.57,211.72,209.44,210.92,1882192.0,0.0,1.0,209.57,211.72,209.44,210.92,1882192.0
2018-08-30,209.71,211.09,209.23,210.22,2196961.0,0.0,1.0,209.71,211.09,209.23,210.22,2196961.0
2018-08-29,209.17,210.97,208.51,210.46,2110317.0,0.0,1.0,209.17,210.97,208.51,210.46,2110317.0
2018-08-28,208.97,210.12,208.4835,209.43,2136657.0,0.0,1.0,208.97,210.12,208.4835,209.43,2136657.0
2018-08-27,206.18,208.5,205.85,208.33,1776131.0,0.0,1.0,206.18,208.5,205.85,208.33,1776131.0
2018-08-24,203.28,205.49,203.0701,205.29,1676622.0,0.0,1.0,203.28,205.49,203.0701,205.29,1676622.0
2018-08-23,203.0,203.1523,201.461,202.75,1367312.0,1.36,1.0,203.0,203.1523,201.461,202.75,1367312.0
2018-08-22,205.77,205.77,203.4,204.26,1461285.0,0.0,1.0,204.39893929743764,204.39893929743764,202.04473078242123,202.89900053892507,1461285.0
2018-08-21,205.0,206.04,204.39,205.69,1708865.0,0.0,1.0,203.63406986428885,204.6671402675028,203.0281343393268,204.31947234334424,1708865.0
2018-08-20,205.72,205.8,203.66,204.6,2091728.0,0.0,1.0,204.34927245112928,204.42873940522267,202.30299838322472,203.23673509382192,2091728.0
2018-08-17,203.28,204.99,201.89,204.77,1598878.0,0.0,1.0,201.92553035128117,203.6241364950272,200.54479202390866,203.4056023712704,1598878.0
2018-08-16,202.02,203.43,201.82,203.15,1621559.0,0.0,1.0,200.6739258243104,202.07453089020626,200.47525843907695,201.79639655087942,1621559.0
2018-08-15,199.25,201.76,197.11,201.39,2028864.0,0.0,1.0,197.9223825388271,200.4156582235069,195.79664151682917,200.04812356082502,2028864.0
2018-08-14,199.78,201.08,199.41,200.52,1719047.0,0.0,1.0,198.44885110969574,199.7401891137132,198.08131644701385,199.18392043505952,1719047.0
2018-08-13,202.02,202.79,199.5,199.84,1587190.0,0.0,1.0,200.6739258243104,201.4387952574592,198.1707167703689,198.50845132526578,1587190.0
2018-08-10,203.81,204.13,201.0,201.96,1893208.0,0.0,1.0,202.4519989221498,202.76986673852332,199.66072215961978,200.6143256087404,1893208.0
2018-08-09,207.14,207.97,204.49,204.78,1812628.0,0.0,1.0,205.75981088628677,206.5842805350056,203.12746803194355,203.41553574053205,1812628.0
2018-08-08,208.49,209.04,206.77,207.14,1052112.0,0.0,1.0,207.1008157366126,207.64715104600458,205.3922762236049,205.75981088628677,1052112.0
2018-08-07,208.01,209.61,207.37,208.57,1313550.0,0.0,1.0,206.6240140120523,208.21335309391995,205.98827837930526,207.18028269070598,1313550.0
2018-08-06,207.45,207.46,205.235,206.7,1064190.0,0.0,1.0,206.06774533339862,206.0776787026603,203.86750404193816,205.32274263877318,1064190.0
2018-08-03,205.92,207.581,205.2,207.29,1299921.0,0.0,1.0,204.5479398363627,206.19787247072654,203.8327372495223,205.90881142521187,1299921.0
2018-08-02,205.95,205.99,203.85,205.53,1698504.0,0.0,1.0,204.57773994414774,204.61747342119443,202.49173239919648,204.1605384351575,1698504.0
2018-08-01,210.98,211.06,206.87,207.05,2066810.0,0.0,1.0,209.57422468276906,209.65369163686245,205.49160991622162,205.67041056293175,2066810.0
2018-07-31,207.23,212.78,206.5,212.32,3572971.0,0.0,1.0,205.84921120964182,211.36223114987015,205.12407525353973,210.9052961638332,3572971.0
2018-07-30,208.25,209.25,204.76,205.12,2040941.0,0.0,1.0,206.86241487433244,207.85575180049972,203.3956690020087,203.75327029542893,2040941.0
2018-07-27,208.68,210.6,206.85,207.42,2247966.0,0.0,1.0,207.28954975258438,209.1967566508255,205.47174317769827,206.0379452256136,2247966.0
