Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,69.77,70.78,68.88,70.4,16950613.0,0.0,1.0,69.77,70.78,68.88,70.4,16950613.0
2018-10-25,66.94,70.57,66.1,69.96,20566489.0,0.0,1.0,66.94,70.57,66.1,69.96,20566489.0
2018-10-24,71.82,72.6353,70.23,70.54,14438768.0,0.0,1.0,71.82,72.6353,70.23,70.54,14438768.0
2018-10-23,72.16,72.415,71.22,72.1,11414266.0,0.0,1.0,72.16,72.415,71.22,72.1,11414266.0
2018-10-22,72.97,73.49,71.85,72.57,11834377.0,0.0,1.0,72.97,73.49,71.85,72.57,11834377.0
2018-10-19,72.3,72.655,71.935,72.35,14513382.0,0.0,1.0,72.3,72.655,71.935,72.35,14513382.0
2018-10-18,72.15,72.4,71.42,72.21,11175699.0,0.0,1.0,72.15,72.4,71.42,72.21,11175699.0
2018-10-17,71.09,71.9399,70.8,71.82,9344523.0,0.0,1.0,71.09,71.9399,70.8,71.82,9344523.0
2018-10-16,69.85,71.31,69.75,71.22,10229047.0,0.0,1.0,69.85,71.31,69.75,71.22,10229047.0
2018-10-15,69.19,70.21,68.93,69.46,6580933.0,0.0,1.0,69.19,70.21,68.93,69.46,6580933.0
2018-10-12,68.7,70.059,68.42,69.81,9105417.0,0.0,1.0,68.7,70.059,68.42,69.81,9105417.0
2018-10-11,70.37,70.531,67.82,68.37,12873989.0,0.0,1.0,70.37,70.531,67.82,68.37,12873989.0
2018-10-10,72.48,72.89,70.39,70.45,11762937.0,0.0,1.0,72.48,72.89,70.39,70.45,11762937.0
2018-10-09,71.46,72.655,70.97,72.34,7871280.0,0.0,1.0,71.46,72.655,70.97,72.34,7871280.0
2018-10-08,70.93,71.6953,70.89,71.46,8854797.0,0.0,1.0,70.93,71.6953,70.89,71.46,8854797.0
2018-10-05,71.23,71.69,70.58,71.03,7433463.0,0.0,1.0,71.23,71.69,70.58,71.03,7433463.0
2018-10-04,71.12,71.36,70.46,71.22,9394628.0,0.0,1.0,71.12,71.36,70.46,71.22,9394628.0
2018-10-03,72.09,72.42,71.35,71.37,9577563.0,0.0,1.0,72.09,72.42,71.35,71.37,9577563.0
2018-10-02,71.97,72.17,71.09,71.75,10395642.0,0.0,1.0,71.97,72.17,71.09,71.75,10395642.0
2018-10-01,71.07,71.89,70.61,71.53,7629823.0,0.0,1.0,71.07,71.89,70.61,71.53,7629823.0
2018-09-28,70.72,71.2,70.65,70.94,6802526.0,0.0,1.0,70.72,71.2,70.65,70.94,6802526.0
2018-09-27,70.33,71.18,70.085,70.72,6026173.0,0.0,1.0,70.33,71.18,70.085,70.72,6026173.0
2018-09-26,70.93,71.15,70.18,70.33,6885058.0,0.0,1.0,70.93,71.15,70.18,70.33,6885058.0
2018-09-25,70.85,71.38,70.52,70.65,5386635.0,0.0,1.0,70.85,71.38,70.52,70.65,5386635.0
2018-09-24,70.92,71.3,70.63,70.78,6438808.0,0.0,1.0,70.92,71.3,70.63,70.78,6438808.0
2018-09-21,70.91,71.575,70.905,71.1,17033065.0,0.0,1.0,70.91,71.575,70.905,71.1,17033065.0
2018-09-20,70.35,70.83,70.05,70.78,6140720.0,0.0,1.0,70.35,70.83,70.05,70.78,6140720.0
2018-09-19,70.15,70.57,69.64,69.98,7944187.0,0.0,1.0,70.15,70.57,69.64,69.98,7944187.0
2018-09-18,70.41,70.9,69.895,70.42,6800396.0,0.0,1.0,70.41,70.9,69.895,70.42,6800396.0
2018-09-17,69.85,70.46,69.65,70.42,6697276.0,0.0,1.0,69.85,70.46,69.65,70.42,6697276.0
2018-09-14,70.74,70.74,69.66,69.98,7435988.0,0.48,1.0,70.74,70.74,69.66,69.98,7435988.0
