Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,105.69,108.75,104.76,106.96,55523104.0,0.0,1.0,105.69,108.75,104.76,106.96,55523104.0
2018-10-25,106.55,109.27,106.15,108.3,61646819.0,0.0,1.0,106.55,109.27,106.15,108.3,61646819.0
2018-10-24,108.41,108.49,101.5901,102.32,63897759.0,0.0,1.0,108.41,108.49,101.5901,102.32,63897759.0
2018-10-23,107.77,108.97,105.11,108.1,43223867.0,0.0,1.0,107.77,108.97,105.11,108.1,43223867.0
2018-10-22,109.32,110.54,108.24,109.63,26545607.0,0.0,1.0,109.32,110.54,108.24,109.63,26545607.0
2018-10-19,108.93,110.86,108.21,108.66,32785475.0,0.0,1.0,108.93,110.86,108.21,108.66,32785475.0
2018-10-18,110.1,110.53,107.83,108.5,32506192.0,0.0,1.0,110.1,110.53,107.83,108.5,32506192.0
2018-10-17,111.68,111.81,109.5482,110.71,26548243.0,0.0,1.0,111.68,111.81,109.5482,110.71,26548243.0
2018-10-16,109.54,111.41,108.95,111.0,31610164.0,0.0,1.0,109.54,111.41,108.95,111.0,31610164.0
2018-10-15,108.91,109.48,106.9468,107.6,32068103.0,0.0,1.0,108.91,109.48,106.9468,107.6,32068103.0
2018-10-12,109.01,110.01,107.12,109.57,46363302.0,0.0,1.0,109.01,110.01,107.12,109.57,46363302.0
2018-10-11,105.35,108.93,104.2,105.91,63904282.0,0.0,1.0,105.35,108.93,104.2,105.91,63904282.0
2018-10-10,111.24,111.5,105.79,106.16,61376315.0,0.0,1.0,111.24,111.5,105.79,106.16,61376315.0
2018-10-09,111.14,113.08,110.8,112.26,26198594.0,0.0,1.0,111.14,113.08,110.8,112.26,26198594.0
2018-10-08,111.66,112.03,109.34,110.85,29640588.0,0.0,1.0,111.66,112.03,109.34,110.85,29640588.0
2018-10-05,112.63,113.17,110.64,112.13,29068859.0,0.0,1.0,112.63,113.17,110.64,112.13,29068859.0
2018-10-04,114.61,114.7588,111.63,112.79,34821717.0,0.0,1.0,114.61,114.7588,111.63,112.79,34821717.0
2018-10-03,115.42,116.18,114.93,115.17,16648018.0,0.0,1.0,115.42,116.18,114.93,115.17,16648018.0
2018-10-02,115.3,115.84,114.44,115.15,20787239.0,0.0,1.0,115.3,115.84,114.44,115.15,20787239.0
2018-10-01,114.75,115.68,114.73,115.61,18883079.0,0.0,1.0,114.75,115.68,114.73,115.61,18883079.0
2018-09-28,114.19,114.57,113.68,114.37,21647811.0,0.0,1.0,114.19,114.57,113.68,114.37,21647811.0
2018-09-27,114.78,114.91,114.2,114.41,19091299.0,0.0,1.0,114.78,114.91,114.2,114.41,19091299.0
2018-09-26,114.47,115.055,113.74,113.98,19352025.0,0.0,1.0,114.47,115.055,113.74,113.98,19352025.0
2018-09-25,114.8,115.1,113.75,114.45,22668014.0,0.0,1.0,114.8,115.1,113.75,114.45,22668014.0
2018-09-24,113.03,114.9,112.2175,114.67,27334460.0,0.0,1.0,113.03,114.9,112.2175,114.67,27334460.0
2018-09-21,114.0,115.29,113.51,114.26,71229698.0,0.0,1.0,114.0,115.29,113.51,114.26,71229698.0
