Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,72.0,72.71,70.69,72.07,8371149.0,0.0,1.0,72.0,72.71,70.69,72.07,8371149.0
2018-10-25,72.69,73.495,72.23,73.1,7648037.0,0.0,1.0,72.69,73.495,72.23,73.1,7648037.0
2018-10-24,73.47,74.6055,71.95,72.12,8281081.0,0.0,1.0,73.47,74.6055,71.95,72.12,8281081.0
2018-10-23,74.19,74.38,72.07,73.35,11418956.0,0.0,1.0,74.19,74.38,72.07,73.35,11418956.0
2018-10-22,74.65,75.21,74.3,74.9,7003923.0,0.0,1.0,74.65,75.21,74.3,74.9,7003923.0
2018-10-19,75.83,76.05,74.14,74.21,7301133.0,0.0,1.0,75.83,76.05,74.14,74.21,7301133.0
2018-10-18,77.4,77.41,75.0031,75.6,7233662.0,0.0,1.0,77.4,77.41,75.0031,75.6,7233662.0
2018-10-17,77.52,77.8,75.94,76.48,6816903.0,0.0,1.0,77.52,77.8,75.94,76.48,6816903.0
2018-10-16,75.6,77.65,75.32,77.48,7743861.0,0.0,1.0,75.6,77.65,75.32,77.48,7743861.0
2018-10-15,75.77,76.16,74.97,74.99,5789024.0,0.0,1.0,75.77,76.16,74.97,74.99,5789024.0
2018-10-12,75.97,76.86,74.91,75.91,9853434.0,0.0,1.0,75.97,76.86,74.91,75.91,9853434.0
2018-10-11,74.77,77.07,73.9,74.51,11532101.0,0.0,1.0,74.77,77.07,73.9,74.51,11532101.0
2018-10-10,79.66,80.04,74.77,74.94,12951526.0,0.0,1.0,79.66,80.04,74.77,74.94,12951526.0
2018-10-09,80.37,81.49,80.16,80.42,7643431.0,0.0,1.0,80.37,81.49,80.16,80.42,7643431.0
2018-10-08,80.04,80.54,79.08,80.23,8057802.0,0.0,1.0,80.04,80.54,79.08,80.23,8057802.0
2018-10-05,80.09,80.99,79.43,80.12,7016588.0,0.0,1.0,80.09,80.99,79.43,80.12,7016588.0
2018-10-04,82.34,82.48,80.02,80.18,9160325.0,0.0,1.0,82.34,82.48,80.02,80.18,9160325.0
2018-10-03,81.93,82.96,81.75,82.5,10046664.0,0.0,1.0,81.93,82.96,81.75,82.5,10046664.0
2018-10-02,84.34,84.55,82.5,82.77,8446202.0,0.0,1.0,84.34,84.55,82.5,82.77,8446202.0
2018-10-01,85.1,85.85,84.37,84.46,7875697.0,0.0,1.0,85.1,85.85,84.37,84.46,7875697.0
2018-09-28,84.29,85.27,84.25,84.72,7451875.0,0.0,1.0,84.29,85.27,84.25,84.72,7451875.0
2018-09-27,83.77,84.915,83.73,84.54,6079959.0,0.0,1.0,83.77,84.915,83.73,84.54,6079959.0
2018-09-26,82.61,84.73,81.95,83.7,16328158.0,0.0,1.0,82.61,84.73,81.95,83.7,16328158.0
2018-09-25,84.86,85.1,84.07,84.79,10281668.0,0.0,1.0,84.86,85.1,84.07,84.79,10281668.0
2018-09-24,85.16,85.26,84.25,84.27,8755031.0,0.0,1.0,85.16,85.26,84.25,84.27,8755031.0
2018-09-21,86.0,86.04,85.01,85.55,13852318.0,0.0,1.0,86.0,86.04,85.01,85.55,13852318.0
2018-09-20,85.09,85.87,84.93,85.37,6620253.0,0.0,1.0,85.09,85.87,84.93,85.37,6620253.0
2018-09-19,85.69,85.85,84.115,84.43,8040020.0,0.0,1.0,85.69,85.85,84.115,84.43,8040020.0
2018-09-18,83.24,85.35,83.24,85.26,7276770.0,0.0,1.0,83.24,85.35,83.24,85.26,7276770.0
2018-09-17,83.49,83.93,82.94,83.26,4858100.0,0.0,1.0,83.49,83.93,82.94,83.26,4858100.0
2018-09-14,83.58,83.84,83.06,83.49,4884358.0,0.0,1.0,83.58,83.84,83.06,83.49,4884358.0
2018-09-13,83.21,83.9,83.12,83.47,5360585.0,0.0,1.0,83.21,83.9,83.12,83.47,5360585.0
2018-09-12,82.7,83.04,82.04,83.0,5384257.0,0.0,1.0,82.7,83.04,82.04,83.0,5384257.0
2018-09-11,83.2,83.58,82.55,82.63,7166847.0,0.0,1.0,83.2,83.58,82.55,82.63,7166847.0
2018-09-10,81.39,82.44,81.22,82.1,6965201.0,0.0,1.0,81.39,82.44,81.22,82.1,6965201.0
2018-09-07,80.01,81.16,80.01,80.3,6630347.0,0.0,1.0,80.01,81.16,80.01,80.3,6630347.0
2018-09-06,80.17,80.84,79.77,80.4,8576938.0,0.0,1.0,80.17,80.84,79.77,80.4,8576938.0
2018-09-05,79.6475,80.32,79.301,79.92,12268459.0,0.0,1.0,79.6475,80.32,79.301,79.92,12268459.0
2018-09-04,79.39,80.97,79.0,79.6,18554861.0,0.0,1.0,79.39,80.97,79.0,79.6,18554861.0
2018-08-31,81.25,82.25,81.25,82.2,5177090.0,0.2,1.0,81.25,82.25,81.25,82.2,5177090.0
2018-08-30,82.58,82.76,81.01,81.4,7122141.0,0.0,1.0,82.37956310679611,82.55912621359224,80.81337378640777,81.20242718446603,7122141.0
2018-08-29,82.42,83.1,82.22,82.79,5712433.0,0.0,1.0,82.21995145631068,82.89830097087378,82.02043689320388,82.58905339805825,5712433.0
2018-08-28,83.23,83.63,82.48,82.58,3788811.0,0.0,1.0,83.0279854368932,83.4270145631068,82.27980582524272,82.37956310679611,3788811.0
2018-08-27,83.04,83.45,82.23,82.65,4012426.0,0.0,1.0,82.83844660194175,83.24745145631069,82.03041262135923,82.4493932038835,4012426.0
2018-08-24,82.42,82.8793,82.1,82.45,3452989.0,0.0,1.0,82.21995145631068,82.67813665048544,81.9007281553398,82.2498786407767,3452989.0
2018-08-23,82.43,83.57,82.34,82.91,4156852.0,0.0,1.0,82.22992718446602,83.36716019417474,82.14014563106797,82.70876213592233,4156852.0
2018-08-22,83.1,83.68,82.28,82.64,4308340.0,0.0,1.0,82.89830097087378,83.4768932038835,82.08029126213593,82.43941747572815,4308340.0
2018-08-21,82.31,83.075,82.02,82.95,6336959.0,0.0,1.0,82.11021844660195,82.87336165048544,81.82092233009709,82.74866504854369,6336959.0
2018-08-20,81.52,82.42,80.95,82.18,9343021.0,0.0,1.0,81.32213592233009,82.21995145631068,80.75351941747573,81.98053398058254,9343021.0
