Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,261.5,262.4,257.02,258.18,4830564.0,0.0,1.0,261.5,262.4,257.02,258.18,4830564.0
2018-10-25,258.16,265.18,253.37,264.24,4675643.0,0.0,1.0,258.16,265.18,253.37,264.24,4675643.0
2018-10-24,264.01,265.33,255.93,256.32,5249321.0,0.0,1.0,264.01,265.33,255.93,256.32,5249321.0
2018-10-23,259.72,265.52,259.2,264.86,4081801.0,0.0,1.0,259.72,265.52,259.2,264.86,4081801.0
2018-10-22,266.75,266.83,260.06,262.19,2618138.0,0.0,1.0,266.75,266.83,260.06,262.19,2618138.0
2018-10-19,266.62,267.98,263.89,265.3,3336247.0,0.0,1.0,266.62,267.98,263.89,265.3,3336247.0
2018-10-18,267.35,267.88,263.71,266.81,3072633.0,0.0,1.0,267.35,267.88,263.71,266.81,3072633.0
2018-10-17,270.19,271.0,265.63,267.3,3985133.0,0.0,1.0,270.19,271.0,265.63,267.3,3985133.0
2018-10-16,269.69,272.81,265.0,272.57,6452738.0,0.0,1.0,269.69,272.81,265.0,272.57,6452738.0
2018-10-15,260.13,262.44,259.31,260.25,3582682.0,0.0,1.0,260.13,262.44,259.31,260.25,3582682.0
2018-10-12,259.7,261.39,256.86,259.61,3842289.0,0.0,1.0,259.7,261.39,256.86,259.61,3842289.0
2018-10-11,262.0,264.4016,255.78,257.12,4558462.0,0.0,1.0,262.0,264.4016,255.78,257.12,4558462.0
2018-10-10,270.6,271.42,262.52,263.08,4266776.0,0.0,1.0,270.6,271.42,262.52,263.08,4266776.0
2018-10-09,269.19,271.955,268.47,270.11,2510280.0,0.0,1.0,269.19,271.955,268.47,270.11,2510280.0
2018-10-08,268.84,269.655,265.6531,269.01,1864975.0,0.0,1.0,268.84,269.655,265.6531,269.01,1864975.0
2018-10-05,268.65,271.0,267.95,269.2,2045658.0,0.0,1.0,268.65,271.0,267.95,269.2,2045658.0
2018-10-04,271.0,271.62,267.3118,268.32,2185789.0,0.0,1.0,271.0,271.62,267.3118,268.32,2185789.0
2018-10-03,272.0,272.07,269.77,270.9,3002336.0,0.0,1.0,272.0,272.07,269.77,270.9,3002336.0
2018-10-02,269.0,271.44,267.5,270.63,2777570.0,0.0,1.0,269.0,271.44,267.5,270.63,2777570.0
2018-10-01,267.25,270.02,267.02,269.1,3314839.0,0.0,1.0,267.25,270.02,267.02,269.1,3314839.0
2018-09-28,264.38,266.19,263.848,266.04,2875061.0,0.0,1.0,264.38,266.19,263.848,266.04,2875061.0
2018-09-27,263.0,265.41,262.93,264.65,2759330.0,0.0,1.0,263.0,265.41,262.93,264.65,2759330.0
2018-09-26,264.5,265.49,262.45,262.91,2205518.0,0.0,1.0,264.5,265.49,262.45,262.91,2205518.0
2018-09-25,267.3,267.33,263.03,263.51,3760057.0,0.0,1.0,267.3,267.33,263.03,263.51,3760057.0
2018-09-24,267.01,269.53,266.67,267.36,2687369.0,0.0,1.0,267.01,269.53,266.67,267.36,2687369.0
2018-09-21,266.1,267.84,265.8501,266.67,5671782.0,0.0,1.0,266.1,267.84,265.8501,266.67,5671782.0
2018-09-20,266.08,267.94,266.06,266.39,2094990.0,0.0,1.0,266.08,267.94,266.06,266.39,2094990.0
2018-09-19,264.47,265.61,263.16,265.33,2257834.0,0.0,1.0,264.47,265.61,263.16,265.33,2257834.0
2018-09-18,262.93,264.0899,262.0048,263.29,3557061.0,0.0,1.0,262.93,264.0899,262.0048,263.29,3557061.0
2018-09-17,266.5,266.66,263.41,263.87,1940331.0,0.0,1.0,266.5,266.66,263.41,263.87,1940331.0
2018-09-14,265.4,266.65,263.28,265.31,2084640.0,0.0,1.0,265.4,266.65,263.28,265.31,2084640.0
2018-09-13,264.16,265.685,263.42,265.49,2718783.0,0.0,1.0,264.16,265.685,263.42,265.49,2718783.0
2018-09-12,261.12,264.49,260.85,262.67,2236267.0,0.0,1.0,261.12,264.49,260.85,262.67,2236267.0
2018-09-11,257.92,261.418,257.4828,261.04,2283313.0,0.0,1.0,257.92,261.418,257.4828,261.04,2283313.0
2018-09-10,266.78,266.8,258.75,259.73,4145720.0,0.0,1.0,266.78,266.8,258.75,259.73,4145720.0
2018-09-07,269.64,271.16,267.51,268.28,2958048.0,0.0,1.0,269.64,271.16,267.51,268.28,2958048.0
2018-09-06,267.6,270.02,266.941,269.65,2556063.0,0.9,1.0,267.6,270.02,266.941,269.65,2556063.0
2018-09-05,268.56,268.795,266.93,267.64,2230583.0,0.0,1.0,267.6666198484569,267.90083810755874,266.0420421363889,266.7496802809093,2230583.0
2018-09-04,268.0,269.41,266.57,268.51,2097295.0,0.0,1.0,267.1084827203844,268.5137922749954,265.6832396969137,267.6167861763075,2097295.0
2018-08-31,268.28,269.2056,267.2,268.46,2961491.0,0.0,1.0,267.3875512844206,268.310072223249,266.3111439659952,267.5669525041582,2961491.0
2018-08-30,269.46,270.17,268.11,268.39,2976348.0,0.0,1.0,268.5636259471447,269.27126409166516,267.218116799113,267.49718536314913,2976348.0
2018-08-29,268.39,269.32,267.25,269.0,2880646.0,0.0,1.0,267.49718536314913,268.42409166512664,266.36097763814456,268.10515616337096,2880646.0
2018-08-28,268.54,269.14,267.33,268.51,2604135.0,0.0,1.0,267.64668637959716,268.24469044538904,266.44071151358344,267.6167861763075,2604135.0
2018-08-27,265.0,267.45,264.42,267.08,2613977.0,0.0,1.0,264.1184623914249,266.56031232674184,263.54039179449273,266.1915431528368,2613977.0
2018-08-24,261.75,264.78,261.75,264.28,2238647.0,0.0,1.0,260.8792737017188,263.8991942339678,260.8792737017188,263.4008575124746,2238647.0
2018-08-23,261.02,262.56,259.56,261.42,1603548.0,0.0,1.0,260.1517020883386,261.6865791905378,258.6965588615783,260.5503714655332,1603548.0
2018-08-22,261.95,261.95,260.25,260.74,2148484.0,0.0,1.0,261.07860839031605,261.07860839031605,259.384263537239,259.8726335243024,2148484.0
2018-08-21,261.85,262.52,260.73,261.69,1558809.0,0.0,1.0,260.97894104601744,261.64671225281836,259.86266678987255,260.8194732951396,1558809.0
2018-08-20,263.0,263.49,261.57,262.4,1786166.0,0.0,1.0,262.1251155054519,262.6134854925153,260.6998724819812,261.52711143965996,1786166.0
2018-08-17,263.55,264.13,261.72,262.33,1969664.0,0.0,1.0,262.6732858990945,263.25135649602663,260.8493734984292,261.4573442986509,1969664.0
2018-08-16,261.57,263.75,261.45,263.1,2115862.0,0.0,1.0,260.6998724819812,262.87262058769176,260.5802716688228,262.22478284975057,2115862.0
2018-08-15,261.98,262.69,259.19,260.61,2015135.0,0.0,1.0,261.1085085936057,261.81614673812606,258.32778968767326,259.74306597671415,2015135.0
2018-08-14,260.89,264.295,260.85,263.48,1941881.0,0.0,1.0,260.02213454075036,263.41580761411944,259.9822676030309,262.60351875808544,1941881.0
2018-08-13,261.0,262.55,260.2975,260.91,1635221.0,0.0,1.0,260.13176861947886,261.676612456108,259.43160552578087,260.0420680096101,1635221.0
2018-08-10,260.49,261.5,259.11,260.36,1625059.0,0.0,1.0,259.62346516355575,260.63010534097214,258.2480558122344,259.4938976159675,1625059.0
2018-08-09,259.91,263.02,259.31,261.59,2315032.0,0.0,1.0,259.0453945666236,262.1450489743116,258.44739050083166,260.7198059508409,2315032.0
2018-08-08,258.11,259.5,257.92,258.81,1494253.0,0.0,1.0,257.2513823692479,258.6367584549991,257.06201441508045,257.9490537793384,1494253.0
2018-08-07,257.64,258.8449,257.13,257.65,1462766.0,0.0,1.0,256.7829458510442,257.98383768249863,256.2746423951211,256.792912585474,1462766.0
2018-08-06,256.5,257.54,255.465,256.76,1398440.0,0.0,1.0,255.64673812603957,256.6832785067456,254.61518111254853,255.90587322121607,1398440.0
2018-08-03,256.45,257.56,254.3,257.22,1422318.0,0.0,1.0,255.59690445389023,256.70321197560526,253.45405655146928,256.3643430049899,1422318.0
