Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,122.98,125.05,121.58,123.23,4692582.0,0.0,1.0,122.98,125.05,121.58,123.23,4692582.0
2018-10-25,123.4,125.48,122.45,124.4,4720750.0,0.0,1.0,123.4,125.48,122.45,124.4,4720750.0
2018-10-24,130.23,131.29,121.75,122.07,8458876.0,0.0,1.0,130.23,131.29,121.75,122.07,8458876.0
2018-10-23,125.75,131.04,124.909,130.02,7030616.0,0.0,1.0,125.75,131.04,124.909,130.02,7030616.0
2018-10-22,128.68,128.99,125.7,126.4,5481008.0,0.0,1.0,128.68,128.99,125.7,126.4,5481008.0
2018-10-19,128.49,129.85,127.59,128.68,4574686.0,0.0,1.0,128.49,129.85,127.59,128.68,4574686.0
2018-10-18,129.6,130.77,128.09,128.94,3410994.0,0.0,1.0,129.6,130.77,128.09,128.94,3410994.0
2018-10-17,132.15,132.6285,129.54,130.07,3728459.0,0.0,1.0,132.15,132.6285,129.54,130.07,3728459.0
2018-10-16,130.88,132.6,129.62,132.51,3509674.0,0.0,1.0,130.88,132.6,129.62,132.51,3509674.0
2018-10-15,129.84,131.52,129.17,130.33,3258076.0,0.0,1.0,129.84,131.52,129.17,130.33,3258076.0
2018-10-12,131.19,132.1,127.62,129.63,5094061.0,0.0,1.0,131.19,132.1,127.62,129.63,5094061.0
2018-10-11,130.87,132.54,128.51,129.37,8131163.0,0.0,1.0,130.87,132.54,128.51,129.37,8131163.0
2018-10-10,135.22,135.34,131.04,131.12,5734402.0,0.0,1.0,135.22,135.34,131.04,131.12,5734402.0
2018-10-09,139.27,139.95,135.69,135.88,4768223.0,0.0,1.0,139.27,139.95,135.69,135.88,4768223.0
2018-10-08,139.03,139.64,137.43,139.59,3173516.0,0.0,1.0,139.03,139.64,137.43,139.59,3173516.0
2018-10-05,140.39,140.85,138.61,139.06,2881207.0,0.0,1.0,140.39,140.85,138.61,139.06,2881207.0
2018-10-04,141.1,141.95,139.31,140.39,3404204.0,0.0,1.0,141.1,141.95,139.31,140.39,3404204.0
2018-10-03,141.97,142.09,140.8,141.02,3437161.0,0.0,1.0,141.97,142.09,140.8,141.02,3437161.0
2018-10-02,140.95,142.39,140.59,141.45,3699091.0,0.0,1.0,140.95,142.39,140.59,141.45,3699091.0
2018-10-01,141.15,141.51,140.255,140.92,3315999.0,0.0,1.0,141.15,141.51,140.255,140.92,3315999.0
2018-09-28,139.65,140.03,139.13,139.81,2476644.0,0.0,1.0,139.65,140.03,139.13,139.81,2476644.0
2018-09-27,140.01,140.67,138.69,139.68,1836275.0,0.0,1.0,140.01,140.67,138.69,139.68,1836275.0
2018-09-26,139.61,140.63,138.87,139.56,2368405.0,0.0,1.0,139.61,140.63,138.87,139.56,2368405.0
2018-09-25,140.19,140.74,139.4,139.71,3270434.0,0.0,1.0,140.19,140.74,139.4,139.71,3270434.0
2018-09-24,141.81,143.0,139.85,140.34,2532323.0,0.0,1.0,141.81,143.0,139.85,140.34,2532323.0
2018-09-21,143.68,144.15,141.79,142.08,7330691.0,0.0,1.0,143.68,144.15,141.79,142.08,7330691.0
2018-09-20,141.51,142.61,140.9,141.85,3875794.0,0.0,1.0,141.51,142.61,140.9,141.85,3875794.0
2018-09-19,139.16,140.87,139.15,140.5,3992744.0,0.0,1.0,139.16,140.87,139.15,140.5,3992744.0
2018-09-18,137.98,140.33,137.46,139.58,4312838.0,0.0,1.0,137.98,140.33,137.46,139.58,4312838.0
