Date,Open,High,Low,Close,Adj Close,Volume
1980-10-28,0.288086,0.288086,0.286255,0.288086,0.017911,1036800
1980-10-29,0.287109,0.287109,0.286255,0.286255,0.017797,1203200
1980-10-30,0.285278,0.285278,0.285278,0.285278,0.017737,512000
1980-10-31,0.285278,0.289184,0.282227,0.289184,0.017979,2995200
1980-11-03,0.289184,0.292969,0.288086,0.291992,0.018154,486400
1980-11-05,0.296020,0.301880,0.296020,0.296020,0.018404,3072000
1980-11-06,0.296020,0.296020,0.292969,0.292969,0.018215,320000
1980-11-07,0.292969,0.296875,0.292969,0.296875,0.018458,1715200
1980-11-10,0.296875,0.299805,0.292969,0.299805,0.018640,537600
1980-11-11,0.299805,0.303711,0.298950,0.302734,0.018822,396800
1980-11-12,0.303711,0.311645,0.303711,0.310669,0.019315,729600
1980-11-13,0.312500,0.318359,0.312500,0.314575,0.019558,1753600
1980-11-14,0.314575,0.315430,0.312500,0.312500,0.019429,384000
1980-11-17,0.311645,0.311645,0.308594,0.309570,0.019247,1408000
1980-11-18,0.309570,0.311645,0.307617,0.310669,0.019315,691200
1980-11-19,0.311645,0.315430,0.311645,0.312500,0.019429,2009600
1980-11-20,0.312500,0.315430,0.312500,0.314575,0.019558,256000
1980-11-21,0.317505,0.320434,0.317505,0.319336,0.019854,550400
1980-11-24,0.318359,0.318359,0.312500,0.312500,0.019429,742400
1980-11-25,0.312500,0.313477,0.312500,0.312500,0.019429,512000
1980-11-26,0.312500,0.316528,0.312500,0.316528,0.019679,1625600
1980-11-28,0.316528,0.317505,0.312500,0.312500,0.019429,524800
1980-12-01,0.312500,0.315430,0.312500,0.314575,0.019558,819200
1980-12-02,0.314575,0.315430,0.312500,0.313477,0.019490,550400
1980-12-03,0.313477,0.314575,0.312500,0.314575,0.019558,230400
1980-12-04,0.314575,0.322387,0.313477,0.322387,0.020044,921600
1980-12-05,0.319336,0.319336,0.316528,0.316528,0.019679,204800
1980-12-08,0.314575,0.314575,0.307617,0.307617,0.019125,512000
1980-12-09,0.306762,0.306762,0.299805,0.304809,0.018951,2163200
1980-12-10,0.304809,0.306762,0.303711,0.305786,0.019012,1536000
1980-12-11,0.304809,0.304809,0.302734,0.302734,0.018822,896000
1980-12-12,0.302734,0.302734,0.299805,0.299805,0.018640,4262400
1980-12-15,0.299805,0.300903,0.297852,0.298950,0.018587,524800
1980-12-16,0.297852,0.297852,0.292969,0.296020,0.018404,896000
1980-12-17,0.296020,0.301880,0.296020,0.300903,0.018708,1292800
1980-12-18,0.300903,0.300903,0.295044,0.295044,0.018344,665600
1980-12-19,0.295044,0.295044,0.292969,0.292969,0.018215,652800
1980-12-22,0.292969,0.296020,0.291992,0.296020,0.018404,627200
1980-12-23,0.296020,0.297852,0.296020,0.296875,0.018458,512000
1980-12-24,0.297852,0.301880,0.297852,0.301880,0.018769,409600
1980-12-26,0.301880,0.303711,0.301880,0.303711,0.018883,102400
1980-12-29,0.302734,0.302734,0.301880,0.302734,0.018822,320000
1980-12-30,0.302734,0.304809,0.300903,0.300903,0.018708,460800
1980-12-31,0.300903,0.300903,0.300903,0.300903,0.018708,38400
