Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,98.81,99.67,98.02,98.94,14924731.0,0.0,1.0,98.81,99.67,98.02,98.94,14924731.0
2018-10-25,98.01,99.48,97.0,99.18,10737074.0,0.0,1.0,98.01,99.48,97.0,99.18,10737074.0
2018-10-24,97.5,99.17,97.275,97.56,10287427.0,0.0,1.0,97.5,99.17,97.275,97.56,10287427.0
2018-10-23,96.5,97.985,96.11,97.8,9294326.0,0.0,1.0,96.5,97.985,96.11,97.8,9294326.0
2018-10-22,97.34,97.58,96.7434,97.14,7020429.0,0.0,1.0,97.34,97.58,96.7434,97.14,7020429.0
2018-10-19,96.0,97.65,96.0,97.15,8950474.0,0.0,1.0,96.0,97.65,96.0,97.15,8950474.0
2018-10-18,96.4,97.245,95.74,96.17,10811646.0,0.0,1.0,96.4,97.245,95.74,96.17,10811646.0
2018-10-17,95.18,96.62,94.9,96.56,9539386.0,0.0,1.0,95.18,96.62,94.9,96.56,9539386.0
2018-10-16,94.7,96.07,94.34,95.81,11240400.0,0.0,1.0,94.7,96.07,94.34,95.81,11240400.0
2018-10-15,94.5,94.988,93.82,93.82,8305398.0,0.0,1.0,94.5,94.988,93.82,93.82,8305398.0
2018-10-12,94.76,95.17,93.67,94.81,8474049.0,0.0,1.0,94.76,95.17,93.67,94.81,8474049.0
2018-10-11,95.81,96.29,93.6,93.92,9926549.0,0.0,1.0,95.81,96.29,93.6,93.92,9926549.0
2018-10-10,96.6,97.85,95.7,95.76,8995302.0,0.0,1.0,96.6,97.85,95.7,95.76,8995302.0
2018-10-09,95.64,97.74,95.19,97.08,11598717.0,0.0,1.0,95.64,97.74,95.19,97.08,11598717.0
2018-10-08,93.25,94.93,93.0201,94.69,5762624.0,0.0,1.0,93.25,94.93,93.0201,94.69,5762624.0
2018-10-05,93.86,94.19,92.89,93.31,6684526.0,0.0,1.0,93.86,94.19,92.89,93.31,6684526.0
2018-10-04,94.07,94.5,93.2,94.21,6043944.0,0.0,1.0,94.07,94.5,93.2,94.21,6043944.0
2018-10-03,95.5,95.54,94.04,94.07,6327390.0,0.0,1.0,95.5,95.54,94.04,94.07,6327390.0
2018-10-02,93.93,95.61,93.85,95.15,7754439.0,0.0,1.0,93.93,95.61,93.85,95.15,7754439.0
2018-10-01,94.29,94.66,94.04,94.4,4995366.0,0.0,1.0,94.29,94.66,94.04,94.4,4995366.0
2018-09-28,94.28,94.37,93.69,93.91,6305669.0,0.0,1.0,94.28,94.37,93.69,93.91,6305669.0
2018-09-27,94.19,94.96,93.82,94.13,5363436.0,0.0,1.0,94.19,94.96,93.82,94.13,5363436.0
2018-09-26,95.1,95.585,94.52,94.59,5918451.0,0.0,1.0,95.1,95.585,94.52,94.59,5918451.0
2018-09-25,95.99,96.52,94.99,95.1,6190325.0,0.0,1.0,95.99,96.52,94.99,95.1,6190325.0
2018-09-24,95.44,96.0,94.86,94.92,5287566.0,0.0,1.0,95.44,96.0,94.86,94.92,5287566.0
2018-09-21,95.92,96.29,95.63,95.9,9529568.0,0.0,1.0,95.92,96.29,95.63,95.9,9529568.0
