Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-10-26,77.87,78.41,76.96,77.53,18160225.0,0.0,1.0,77.87,78.41,76.96,77.53,18160225.0
2018-10-25,78.49,79.05,77.74,78.31,12315457.0,0.0,1.0,78.49,79.05,77.74,78.31,12315457.0
2018-10-24,80.13,80.26,77.55,77.62,16029756.0,0.0,1.0,80.13,80.26,77.55,77.62,16029756.0
2018-10-23,80.06,80.46,78.715,79.84,15184007.0,0.0,1.0,80.06,80.46,78.715,79.84,15184007.0
2018-10-22,82.0,82.18,80.64,81.15,8785354.0,0.0,1.0,82.0,82.18,80.64,81.15,8785354.0
2018-10-19,81.66,82.4636,81.51,81.97,12098676.0,0.0,1.0,81.66,82.4636,81.51,81.97,12098676.0
2018-10-18,81.2,82.47,81.2,81.85,16453245.0,0.0,1.0,81.2,82.47,81.2,81.85,16453245.0
2018-10-17,80.94,81.52,80.34,81.5,12247748.0,0.0,1.0,80.94,81.52,80.34,81.5,12247748.0
2018-10-16,80.51,81.265,80.01,81.2,9780978.0,0.0,1.0,80.51,81.265,80.01,81.2,9780978.0
2018-10-15,81.38,81.735,80.82,80.82,10558399.0,0.0,1.0,81.38,81.735,80.82,80.82,10558399.0
2018-10-12,82.13,82.24,80.27,81.38,14860723.0,0.0,1.0,82.13,82.24,80.27,81.38,14860723.0
2018-10-11,83.94,84.17,81.17,81.6,20320055.0,0.0,1.0,83.94,84.17,81.17,81.6,20320055.0
2018-10-10,86.73,86.82,84.5,84.52,16395750.0,0.0,1.0,86.73,86.82,84.5,84.52,16395750.0
2018-10-09,86.38,86.88,85.74,86.51,10177460.0,0.0,1.0,86.38,86.88,85.74,86.51,10177460.0
2018-10-08,84.79,86.305,84.65,86.13,13242314.0,0.0,1.0,84.79,86.305,84.65,86.13,13242314.0
2018-10-05,85.31,85.7,84.9324,85.34,9217393.0,0.0,1.0,85.31,85.7,84.9324,85.34,9217393.0
2018-10-04,85.5,86.0753,85.25,85.58,9673760.0,0.0,1.0,85.5,86.0753,85.25,85.58,9673760.0
2018-10-03,86.51,86.89,85.975,86.15,10206722.0,0.0,1.0,86.51,86.89,85.975,86.15,10206722.0
2018-10-02,85.8,86.665,85.622,86.46,8452838.0,0.0,1.0,85.8,86.665,85.622,86.46,8452838.0
2018-10-01,85.35,86.03,85.255,85.81,8568062.0,0.0,1.0,85.35,86.03,85.255,85.81,8568062.0
2018-09-28,85.25,85.9299,84.99,85.02,9712098.0,0.0,1.0,85.25,85.9299,84.99,85.02,9712098.0
2018-09-27,86.085,86.375,85.59,85.77,7658502.0,0.0,1.0,86.085,86.375,85.59,85.77,7658502.0
2018-09-26,86.02,86.5,85.69,85.78,9916381.0,0.0,1.0,86.02,86.5,85.69,85.78,9916381.0
2018-09-25,87.0312,87.36,86.37,86.5,11776427.0,0.0,1.0,87.0312,87.36,86.37,86.5,11776427.0
2018-09-24,85.79,87.085,85.72,86.6,13341617.0,0.0,1.0,85.79,87.085,85.72,86.6,13341617.0
2018-09-21,85.01,85.43,84.52,85.17,26634407.0,0.0,1.0,85.01,85.43,84.52,85.17,26634407.0
2018-09-20,84.86,85.34,84.54,84.82,11198171.0,0.0,1.0,84.86,85.34,84.54,84.82,11198171.0
2018-09-19,83.64,84.77,83.64,84.63,10068001.0,0.0,1.0,83.64,84.77,83.64,84.63,10068001.0
2018-09-18,83.9,84.13,83.45,83.63,9219890.0,0.0,1.0,83.9,84.13,83.45,83.63,9219890.0
